NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
3109	Irregular galaxy	Hydra	10h03m06.7s	°09′32″
3110	Spiral galaxy	Leo	10h04m01.9s	°28′29″
3115	Lenticular galaxy	Sextans	10h05m13.8s	°43′08″
3122	Spiral galaxy	Leo	10h04m01.9s	°28′29″
3132	Planetary nebula	Vela	10h07m01.8s	°26′11″
3169	Spiral galaxy	Sextans	10h14m14.7s	°28′01″
3180	Diffuse nebula	Ursa Major	10h18m17.0s	°25′26″
3181	Diffuse nebula	Ursa Major	10h18m11.5s	°24′46″
3182	Spiral galaxy	Ursa Major	10h19m33.3s	°12′20″
3183	Spiral galaxy	Draco	10h21m48.9s	°10′40″
3184	Spiral galaxy	Ursa Major	10h18m17.0s	°25′26″
3185	Spiral galaxy	Leo	10h17m38.7s	°41′17″
3186	Galaxy	Leo	10h17m38.0s	°58′16″
3187	Spiral galaxy	Leo	10h17m47.9s	°52′24″
3188	Spiral galaxy	Ursa Major	10h19m42.8s	°25′25″
3189	Spiral galaxy	Leo	10h18m05.6s	°49′52″
3190	Spiral galaxy	Leo	10h18m05.6s	°49′52″
3191	Spiral galaxy	Ursa Major	10h19m05.2s	°27′17″
3192	Spiral galaxy	Ursa Major	10h18m58.4s	°27′16″
3193	Elliptical galaxy	Leo	10h18m25.0s	°53′37″
3194	Spiral galaxy	Draco	10h17m40.2s	°20′50″
3195	Planetary nebula	Chamaeleon	10h09m20.9s	°51′31″
3196	Galaxy	Leo	10h18m49.0s	°40′08″
3197	Spiral galaxy	Draco	10h14m28.2s	°49′12″
3198	Spiral galaxy	Ursa Major	10h19m54.8s	°33′01″
3199	Diffuse nebula	Carina	10h16m32.8s	°56′02″
3200	Spiral galaxy	Hydra	10h18m36.4s	°58′57″
