City & Nation	First Place	Second Place	Third Place	Total Top 3 Placements	First Place Winning Year(s) (if applicable)
Vancouver , Canada	6	0	3	9	2001, 2002, 2004, 2005, 2010, 2013
Toronto , Canada	3	1	3	7	1992, 1997, 2009
Hong Kong	2	9	3	14	1988, 2000
Singapore	2	1	0	3	1991, 1996
Sydney , Australia	2	0	0	2	1989, 2007
Bangkok , Thailand	1	3	1	5	1994
Kuala Lumpur , Malaysia	1	2	3	6	2003
New York City , USA	1	2	1	4	1999
Montreal , Canada	1	1	2	4	1993
San Francisco , USA	1	1	2	4	1998
Johannesburg , South Africa	1	1	0	2	2006
Chicago , USA	1	0	0	1	2012
Paris , France	1	0	0	1	2008
Taipei , Chinese Taipei	1	0	0	1	1995
Los Angeles , USA	0	2	1	3	N/A
Seattle , USA	0	1	1	2	N/A
Chongqing , China	0	0	1	1	N/A
Macau	0	0	1	1	N/A
Manila , Philippines	0	0	1	1	N/A
