Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 1	@ Utah	L 88–110 (OT)	Darren Collison (16)	Danny Granger (7)	Darren Collison , Josh McRoberts (5)	EnergySolutions Arena 18,732	9–8
18	December 3	@ Phoenix	L 97–105 (OT)	Brandon Rush (21)	Josh McRoberts (9)	T. J. Ford (9)	US Airways Center 16,991	9–9
19	December 6	Toronto	W 124–100 (OT)	Brandon Rush (26)	Danny Granger (9)	T. J. Ford , Roy Hibbert , Josh McRoberts (6)	Conseco Fieldhouse 11,930	10–9
20	December 8	@ Milwaukee	L 95–97 (OT)	Danny Granger (26)	Josh McRoberts (7)	Josh McRoberts (5)	Bradley Center 12,789	10–10
21	December 10	Charlotte	W 100–92 (OT)	Danny Granger (18)	Roy Hibbert (14)	Darren Collison (7)	Conseco Fieldhouse 13,128	11–10
22	December 11	@ Atlanta	L 83–97 (OT)	Mike Dunleavy (16)	Mike Dunleavy (9)	Darren Collison (5)	Philips Arena 14,131	11–11
23	December 13	@ Chicago	L 73–92 (OT)	T. J. Ford , Brandon Rush (13)	Mike Dunleavy (8)	T. J. Ford (4)	United Center 21,287	11–12
24	December 15	L.A. Lakers	L 94–109 (OT)	Darren Collison (17)	James Posey (7)	Darren Collison , T. J. Ford (6)	Conseco Fieldhouse 18,165	11–13
25	December 17	Cleveland	W 108–99 (OT)	Danny Granger (30)	Danny Granger (12)	Darren Collison (5)	Conseco Fieldhouse 12,021	12–13
26	December 19	@ Boston	L 88–99 (OT)	Danny Granger (19)	Roy Hibbert (14)	T. J. Ford , James Posey (3)	TD Garden 18,624	12–14
27	December 20	New Orleans	W 94–93 (OT)	Danny Granger (27)	Jeff Foster (11)	Darren Collison , T. J. Ford (5)	Conseco Fieldhouse 12,271	13–14
28	December 26	Memphis	L 90–104 (OT)	Danny Granger (29)	Roy Hibbert (10)	Darren Collison , T. J. Ford (4)	Conseco Fieldhouse 12,630	13–15
29	December 28	Boston	L 83–95 (OT)	Brandon Rush (17)	Roy Hibbert (8)	Danny Granger (4)	Conseco Fieldhouse 18,165	13–16
30	December 29	@ Washington	L 90–104 (OT)	Mike Dunleavy (20)	Danny Granger (9)	Darren Collison (5)	Verizon Center 16,108	13–17
