Season	Date	Location	Discipline	Place
2008	10 Feb 2008	Sestriere , Italy	Super G	1st
2008	13 Mar 2008	Bormio , Italy	Super G	1st
2009	7 Dec 2008	Lake Louise , Canada	Super G	2nd
2009	19 Dec 2008	St. Moritz , Switzerland	Super combined	3rd
2009	20 Dec 2008	St. Moritz , Switzerland	Super G	2nd
2009	22 Feb 2009	Tarvisio , Italy	Super G	2nd
2009	27 Feb 2009	Bansko , Bulgaria	Downhill	1st
2009	28 Feb 2009	Bansko , Bulgaria	Downhill	3rd
2009	1 Mar 2009	Bansko , Bulgaria	Super G	2nd
2010	22 Jan 2010	Cortina d'Ampezzo , Italy	Super G	2nd
2010	30 Jan 2010	St. Moritz, Switzerland	Downhill	3rd
2012	7 Dec 2011	Beaver Creek , USA	Super G	2nd
2012	7 Jan 2012	Bad Kleinkirchheim , Austria	Downhill	3rd
2012	8 Jan 2012	Bad Kleinkirchheim , Austria	Super G	1st
2013	13 Jan 2013	St. Anton , Austria	Super G	2nd
