Province, Community	Contestant	Age	Height	Hometown	Geographical Regions
Azua	Clara Ureña López	23	m (ft 6 1⁄2 in)	Santo Domingo	Sur Occidente
Baoruco	Ixayra Medina Rosa	20	m (ft 10 3⁄4 in)	Neiba	Sur Occidente
Com. Dom. Miami	Lorraine Peralta Quirós	18	m (ft 7in)	South Miami	Exterior
Com. Dom. Nueva York	Kathyrine Vizcano Núñez	25	m (ft 10 3⁄4 in)	Brooklyn	Exterior
Com. Dom. Pennsylvania	Joanie Polanco Oviedo	20	m (ft 8in)	Hazleton	Exterior
Com. Dom. Rhode Island	Marilin Tatís Arias	22	m (ft 0in)	Provindence	Exterior
Distrito Nacional	Natasha Romero Sánchez	25	m (ft 5 1⁄4 in)	Santo Domingo	Sur Oriente
Duarte	Exilia Martínez Camacho	24	m (ft 7 3⁄4 in)	San Francisco de Macorís	Cibao Oriental
Espaillat	Laura Jiménez Ynoa	22	m (ft 11 1⁄4 in)	Santo Domingo	Centro Cibao
Hato Mayor	Karina Cid Mir	21	m (ft 10 1⁄2 in)	Santo Domingo	Sur Oriente
La Altagracia	Julisa Fernández Nolasco	18	m (ft 0in)	Santiago de los Caballeros	Sur Oriente
La Romana	Anna Merán Portillo	23	m (ft 6 1⁄4 in)	La Romana	Sur Oriente
La Vega	Elisa Abreu de los Santos	19	m (ft 9in)	Jarabacoa	Centro Cibao
María Trinidad Sánchez	Yamel del Carmen Mora Ventura	19	m (ft 9 1⁄4 in)	Río San Juan	Cibao Oriental
Monseñor Nouel	Lizaura Tejeda Fabían	20	m (ft 8 1⁄2 in)	Bonao	Centro Cibao
Monte Plata	Marta Reynoso Henríquez	21	m (ft 8in)	Santo Domingo	Sur Oriente
Pedernales	Teresa Zamora Gómez	18	m (ft 11 3⁄4 in)	Santo Domingo	Sur Occidente
Peravia	Daniela Teresa Peguero Brito	23	m (ft 8 1⁄2 in)	Santo Domingo	Sur Occidente
Puerto Plata	Yudith Karina Morales Hernández	20	m (ft 10in)	San Felipe de Puerto Plata	Cibao Occidental
Salcedo	Edith Germán Lora	24	m (ft 9in)	Santiago de los Caballeros	Centro Cibao
Samaná	Elizabeth María Santana Corona	19	m (ft 10in)	Santiago de los Caballeros	Cibao Oriental
Sánchez Ramírez	Alexandra Bautista Álvarez	22	m (ft 7 3⁄4 in)	Bonao	Cibao Oriental
San Cristóbal	Lucía de Lara Brito	21	m (ft 3⁄4 in)	San Cristóbal	Sur Occidente
San Juan	Sandra Cruz Ramírez	20	m (ft 9 3⁄4 in)	San Juan de la Maguana	Sur Occidente
San Pedro de Macorís	Ariany Abidaner de Sosa	21	m (ft 10 1⁄2 in)	San Pedro de Macorís	Sur Oriente
Santiago	Joselyn Taveras Cabrera	20	m (ft 9 1⁄4 in)	Santiago de los Caballeros	Cibao Occidental
Santiago Rodríguez	Stephanie Almadaor Torres	18	m (ft 6 1⁄4 in)	San Ignacio de Sabaneta	Cibao Occidental
