Week	Date	Opponent	Result	Record	Game site
1	April 1, 2005	Oklahoma City Yard Dawgz	W 59–47	1–0	Wachovia Arena
2	April 10, 2005	Quad City Steamwheelers	W 64–28	2–0	Wachovia Arena
3	April 15, 2005	Albany Conquest	W 55–37	3–0	Times Union Center
4	April 22, 2005	Louisville Fire	L 58–50	3–1	Wachovia Arena
5	April 30, 2005	Green Bay Blizzard	L 48–40	3–2	Wachovia Arena
6	Bye	Bye	Bye	Bye	Bye
7	May 14, 2005	Quad City Steamwheelers	W 57–55	4–2	i wireless Center
8	May 21, 2005	Rio Grande Valley Dorados	L 52–49	4–3	Dodge Arena
9	May 27, 2005	Manchester Wolves	L 46–33	4–4	Wachovia Arena
10	June 3, 2005	Green Bay Blizzard	W 38–24	5–4	Resch Center
11	June 11, 2005	Albany Conquest	W 43–34	6–4	Wachovia Arena
12	June 18, 2005	Macon Knights	L 41–53	6–5	Macon Coliseum
13	June 25, 2005	South Georgia Wildcats	W 65–46	7–5	Albany Civic Center
14	Bye	Bye	Bye	Bye	Bye
15	July 8, 2005	Manchester Wolves	L 63–36	7–6	Verizon Wireless Arena
16	July 16, 2005	Florida Firecats	L 48–47 (OT)	7–7	Germain Arena
17	July 23, 2005	Albany Conquest	W 54–47	8–7	Wachovia Arena
18	July 30, 2005	Macon Knights	W 53–52	9–7	Wachovia Arena
