Name	Lifespan	Country	Wins	Majors	Winning span	Span (years)
Sam Snead	1912–2002	United States	82	7	1936–1965	30
Tiger Woods	1975–	United States	79	14	1996–2013	18
Jack Nicklaus	1940–	United States	73	18	1962–1986	25
Ben Hogan	1912–1997	United States	64	9	1938–1959	22
Arnold Palmer	1929–	United States	62	7	1955–1973	19
Byron Nelson	1912–2006	United States	52	5	1935–1951	17
Billy Casper	1931–	United States	51	3	1956–1975	20
Walter Hagen	1892–1969	United States	45	11	1914–1936	23
Phil Mickelson	1970–	United States	42	5	1991–2013	23
Cary Middlecoff	1921–1998	United States	40	3	1945–1961	17
Gene Sarazen	1902–1999	United States	39	7	1922–1941	20
Tom Watson	1949–	United States	39	8	1974–1998	25
Lloyd Mangrum	1914–1973	United States	36	1	1940–1956	17
Vijay Singh	1963–	Fiji	34	3	1993–2008	16
Horton Smith	1908–1963	United States	32	2	1928–1941	14
Harry Cooper	1904–2000	United States	31	0	1923–1939	17
Jimmy Demaret	1910–1983	United States	31	3	1938–1957	20
Leo Diegel	1899–1951	United States	30	2	1920–1934	15
Gene Littler	1930–	United States	29	1	1954–1977	24
Paul Runyan	1908–2002	United States	29	2	1930–1941	12
Lee Trevino	1939–	United States	29	6	1968–1984	17
Henry Picard	1906–1997	United States	26	2	1932–1945	14
Tommy Armour	1894–1968	Scotland United States	25	3	1920–1938	19
Johnny Miller	1947–	United States	25	2	1971–1994	24
Gary Player	1935–	South Africa	24	9	1958–1978	21
Macdonald Smith	1892–1949	Scotland United States	24	0	1924–1936	13
Johnny Farrell	1901–1988	United States	22	1	1921–1936	16
Raymond Floyd	1942–	United States	22	4	1963–1992	30
Jim Barnes	1886–1966	England	21	4	1916–1937	22
Willie Macfarlane	1890–1961	Scotland United States	21	1	1916–1936	21
Lanny Wadkins	1949–	United States	21	1	1972–1992	21
Craig Wood	1901–1968	United States	21	2	1928–1944	17
Hale Irwin	1945–	United States	20	3	1971–1994	24
Davis Love III	1964–	United States	20	1	1987–2008	22
Bill Mehlhorn	1898–1989	United States	20	0	1923–1930	8
Greg Norman	1955–	Australia	20	2	1984–1997	14
Doug Sanders	1933–	United States	20	0	1956–1972	17
Ben Crenshaw	1952–	United States	19	2	1973–1995	23
Ernie Els	1969–	South Africa	19	4	1994–2012	19
Doug Ford	1922–	United States	19	2	1952–1963	12
Hubert Green	1946–	United States	19	2	1971–1985	15
Tom Kite	1949–	United States	19	1	1976–1993	18
Julius Boros	1920–1994	United States	18	3	1952–1968	17
Jim Ferrier	1915–1986	Australia	18	1	1944–1961	18
E.J. "Dutch" Harrison	1910–1982	United States	18	0	1939–1958	20
Nick Price	1957–	Zimbabwe	18	3	1983–2002	20
Johnny Revolta	1911–1991	United States	18	1	1933–1944	12
Bobby Cruickshank	1894–1975	Scotland	17	0	1921–1936	16
Harold "Jug" McSpaden	1908–1996	United States	17	0	1933–1945	13
Curtis Strange	1955–	United States	17	2	1979–1989	11
Jack Burke, Jr.	1923–	United States	16	2	1950–1963	14
Jim Furyk	1970–	United States	16	1	1995–2010	16
Ralph Guldahl	1911–1987	United States	16	3	1931–1940	10
Mark O'Meara	1957–	United States	16	2	1984–1998	15
Denny Shute	1904–1974	United States	16	3	1929–1939	11
Tom Weiskopf	1942–	United States	16	1	1968–1982	15
Tommy Bolt	1916–2008	United States	15	1	1951–1961	11
Fred Couples	1959–	United States	15	1	1983–2003	21
Ed Dudley	1901–1963	United States	15	0	1928–1939	12
Bobby Locke	1917–1987	South Africa	15	4	1947–1957	11
Corey Pavin	1959–	United States	15	1	1984–2006	23
Mike Souchak	1927–2008	United States	15	0	1955–1964	10
Bruce Crampton	1935–	Australia	14	0	1961–1975	15
Jock Hutchison	1884–1977	Scotland United States	14	2	1918–1928	11
Kenny Perry	1960–	United States	14	0	1991–2009	19
Hal Sutton	1958–	United States	14	1	1982–2001	20
Joe Turnesa	1901–1991	United States	14	0	1924–1933	10
Ken Venturi	1931–2013	United States	14	1	1957–1966	10
Art Wall, Jr.	1923–2001	United States	14	1	1953–1975	23
Billy Burke	1902–1972	United States	13	1	1927–1940	14
Mark Calcavecchia	1960–	United States	13	1	1986–2007	22
David Duval	1971–	United States	13	1	1997–2001	5
Dave Hill	1937–2011	United States	13	0	1961–1976	16
Joe Kirkwood, Sr.	1897–1970	Australia	13	0	1923–1933	11
Bruce Lietzke	1951–	United States	13	0	1977–1994	18
Craig Stadler	1953–	United States	13	1	1980–2003	24
David Toms	1967–	United States	13	1	1997–2011	15
George Archer	1939–2005	United States	12	1	1965–1984	20
Paul Azinger	1960–	United States	12	1	1987–2000	14
Tony Lema	1934–1966	United States	12	1	1962–1966	5
Justin Leonard	1972–	United States	12	1	1996–2008	13
Wayne Levi	1952–	United States	12	0	1978–1990	13
Calvin Peete	1943–	United States	12	0	1979–1986	8
Steve Stricker	1967–	United States	12	0	1996–2012	17
Miller Barber	1931–2013	United States	11	0	1964–1978	15
Andy Bean	1953–	United States	11	0	1977–1986	10
Frank Beard	1939–	United States	11	0	1963–1971	9
John Cook	1957–	United States	11	0	1981–2001	21
Dow Finsterwald	1929–	United States	11	1	1955–1963	9
Al Geiberger	1937–	United States	11	1	1962–1979	18
Vic Ghezzi	1910–1976	United States	11	1	1935–1948	14
Bob Goalby	1929–	United States	11	1	1958–1971	14
Scott Hoch	1955–	United States	11	0	1980–2003	24
Bobby Nichols	1936–	United States	11	1	1962–1974	13
Payne Stewart	1957–1999	United States	11	3	1982–1999	18
Gay Brewer	1932–2007	United States	10	1	1961–1972	12
Olin Dutra	1901–1983	United States	10	2	1929–1945?	5+
Steve Elkington	1962–	Australia	10	1	1990–1999	10
David Frost	1959–	South Africa	10	0	1988–1997	10
Don January	1929–	United States	10	1	1956–1976	21
Zach Johnson	1976–	United States	10	1	2004–2013	10
Ky Laffoon	1908–1984	United States	10	0	1933–1946	14
John Mahaffey	1948–	United States	10	1	1973–1989	17
Mark McCumber	1951–	United States	10	0	1979–1994	16
Dick Metz	1908–1993	United States	10	0	1935–1949	15
Larry Nelson	1947–	United States	10	3	1979–1988	10
Adam Scott	1980–	Australia	10	1	2003–2013	11
Dave Stockton	1941–	United States	10	2	1967–1976	10
Fuzzy Zoeller	1951–	United States	10	2	1979–1986	8
Stuart Appleby	1971–	Australia	9	0	1997–2010	14
Seve Ballesteros	1957–2011	Spain	9	5	1978–1988	11
Mike Brady	1887–1972	United States	9	0	1916–1926	11
Wiffy Cox	1896–1969	United States	9	0	1930–1937	8
Al Espinosa	1891–1957	United States	9	0	1924–1935	12
Nick Faldo	1957–	England	9	6	1984–1997	14
Johnny Golden	1896–1936	United States	9	0	1927–1935	9
Jay Haas	1953–	United States	9	0	1978–1993	16
Jimmy Hines	1903–1986	United States	9	0	1933–1946	14
Bobby Jones	1902–1971	United States	9	7	1923–1930	8
Willie Klein	1901–1957	United States	9	0	1924?–1936?	13?
K. J. Choi	1970–	South Korea	8	0	2002–2011	10
Jim Colbert	1941–	United States	8	0	1969–1983	15
Roberto De Vicenzo	1923–	Argentina	8	1	1951–1968	18
Bruce Devlin	1937–	Australia	8	0	1964–1972	9
Dave Douglas	1918–1978	United States	8	0	1947–1954	8
Brad Faxon	1961–	United States	8	0	1991–2005	15
Fred Funk	1956–	United States	8	0	1992–2007	16
Sergio García	1980–	Spain	8	0	2001–2012	11
David Graham	1946–	Australia	8	2	1972–1983	12
Lee Janzen	1964–	United States	8	2	1992–1998	7
Steve Jones	1958–	United States	8	1	1988–1998	11
George Knudson	1937–1989	Canada	8	0	1961–1972	12
Ted Kroll	1919–2002	United States	8	0	1952–1962	11
Lawson Little	1910–1968	United States	8	1	1936–1948	13
Tony Manero	1905–1989	United States	8	1	1929–1938	10
Ed Oliver	1916–1961	United States	8	0	1940–1958	19
Dustin Johnson	1984–	United States	8	0	2008–2013	6
Jerry Pate	1953–	United States	8	1	1976–1982	7
Loren Roberts	1955–	United States	8	0	1994–2002	9
Chi Chi Rodriguez	1935–	United States	8	0	1963–1979	17
J. C. Snead	1940–	United States	8	0	1971–1987	17
Bob Tway	1959–	United States	8	1	1986–2003	18
Mike Weir	1970–	Canada	8	1	1999–2007	9
Jerry Barber	1916–1994	United States	7	1	1953–1963	11
Mark Brooks	1961–	United States	7	1	1988–1996	9
Clarence Clark	1907–1974	United States	7	0	1931–1936	6
Gardner Dickinson	1927–1998	United States	7	0	1956–1971	16
Bill Glasson	1960–	United States	7	0	1985–1997	13
Retief Goosen	1969–	South Africa	7	2	2001–2009	9
Clarence Hackney	1894–1941	Scotland United States	7	0	1923–1931	9
Chick Harbert	1915–1992	United States	7	1	1941–1954	14
Chandler Harper	1923–1997	United States	7	1	1942–1955	14
Jay Hebert	1923–1997	United States	7	1	1957–1961	5
John Huston	1961–	United States	7	0	1990–2003	14
Peter Jacobsen	1954–	United States	7	0	1980–2003	24
Billy Maxwell	1929–	United States	7	0	1955–1962	8
Dick Mayer	1924–1989	United States	7	1	1953–1965	13
Gil Morgan	1946–	United States	7	0	1977–1990	14
Geoff Ogilvy	1977–	Australia	7	1	2005–2010	6
Johnny Palmer	1918–2006	United States	7	0	1946–1954	9
Scott Simpson	1955–	United States	7	1	1980–1998	19
Joey Sindelar	1958–	United States	7	0	1985–2004	20
Bert Yancey	1938–1994	United States	7	0	1966–1972	7
Sammy Byrd	1906–1981	United States	6	0	1942–1945	4
Bob Charles	1936–	New Zealand	6	1	1963–1974	12
Stewart Cink	1973–	United States	6	1	1997–2009	13
Ed Furgol	1917–1997	United States	6	1	1947–1957	11
Bob Gilder	1950–	United States	6	0	1976–1983	8
Lou Graham	1938–	United States	6	1	1967–1979	13
Paul Harney	1929–2011	United States	6	0	1957–1972	16
Willie Hunter	1892–1968	Scotland United States	6	0	192?–1936	~11
Gary Koch	1952–	United States	6	0	1976–1988	13
Matt Kuchar	1978–	United States	6	0	2002–2013	12
Bob Lunn	1945–	United States	6	0	1968–1972	5
Sandy Lyle	1958–	Scotland	6	2	1985–1988	4
Rory McIlroy	1989–	Northern Ireland	6	2	2010–2012	3
Rocco Mediate	1962–	United States	6	0	1991–2010	20
José María Olazábal	1966–	Spain	6	2	1990–2002	13
Steve Pate	1961–	United States	6	0	1987–1998	12
Bill Rogers	1951–	United States	6	1	1978–1983	6
Bob Rosburg	1926–2009	United States	6	1	1954–1972	19
Rory Sabbatini	1976–	South Africa	6	0	2000–2011	12
Dan Sikes	1929–1987	United States	6	0	1963–1968	6
Jeff Sluman	1957–	United States	6	1	1988–2002	15
Brandt Snedeker	1980–	United States	6	0	2007–2013	7
Frank Stranahan	1922–2013	United States	6	0	1945–1958	14
Peter Thomson	1929–	Australia	6	5	1954–1965	12
Mike Turnesa	1907–2000	United States	6	0	1931–1949	19
Cyril Walker	1892–1948	England United States	6	1	1917–1930	14
Bo Wininger	1922–1967	United States	6	0	1955–1963	9
Buddy Allin	1944–2007	United States	5	0	1971–1976	6
Jonathan Byrd	1978–	United States	5	0	2002–2011	10
Pete Cooper	1914–1993	United States	5	0	1949–1958	10
John Daly	1966–	United States	5	2	1991–2004	14
Luke Donald	1977–	England	5	0	2002–2012	11
Danny Edwards	1951–	United States	5	0	1977–1985	9
Dan Forsman	1958–	United States	5	0	1985–2002	18
Marty Furgol	1916–2005	United States	5	0	1951–1959	9
Jim Gallagher, Jr.	1961–	United States	5	0	1990–1995	6
Ken Green	1958–	United States	5	0	1985–1989	5
Bill Haas	1982–	United States	5	0	2010–2013	4
Fred Haas	1916–2004	United States	5	0	1945–1954	10
Bob Hamilton	1916–1990	United States	5	1	1944–1949	6
Pádraig Harrington	1971–	Ireland	5	3	2005–2008	4
Jerry Heard	1947–	United States	5	0	1971–1978	8
Lionel Hebert	1928–2000	United States	5	1	1957–1966	10
Herman Keiser	1914–2003	United States	5	1	1942–1947	6
Tom Lehman	1959–	United States	5	1	1994–2000	7
Hunter Mahan	1982–	United States	5	0	2007–2012	6
Roger Maltbie	1951–	United States	5	0	1975–1985	11
Ray Mangrum	1910–1975	United States	5	0	1936–1946	11
Billy Mayfair	1966–	United States	5	0	1993–1998	6
Blaine McCallister	1958–	United States	5	0	1988–1993	6
