Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	Corinthians	81	42	9	9	59	28
2	Internacional	78	42	9	10	49	23
3	Goiás	74	42	8	12	51	17
4	Palmeiras	70	42	10	12	65	16
5	Fluminense	68	42	11	12	70	9
6	Atlético Paranaense	61	42	7	17	67	9
7	Paraná	61	42	10	15	51	8
8	Cruzeiro	60	42	9	16	72	1
9	Botafogo	59	42	8	17	56	1
10	Santos	59	42	11	15	71	- 3
11	São Paulo	58	42	10	16	67	10
12	Vasco da Gama	56	42	11	16	84	- 10
13	Fortaleza	55	42	7	19	64	- 6
14	Juventude	55	42	10	17	72	- 6
15	Flamengo	55	42	13	15	60	- 4
16	Figueirense	53	42	11	17	72	- 7
17	São Caetano	52	42	10	18	60	- 6
18	Ponte Preta	51	42	6	21	80	- 17
19	Coritiba	49	42	10	19	60	- 9
20	Atlético Mineiro	47	42	8	21	59	- 5
21	Paysandu	41	42	5	25	92	- 29
22	Brasiliense	41	42	11	21	67	- 20
