Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	57	1:39:26.671	2	34
A. J. Allmendinger	RuSPORT	57	+9.130 secs	6	27
Jimmy Vasser	PKV Racing	57	+31.852 secs	8	25
Alex Tagliani	Team Australia	57	+36.420 secs	9	23
Oriol Servià	Newman/Haas Racing	57	+43.968 secs	1	22
Timo Glock	Rocketsports Racing	57	+45.616 secs	10	19
Justin Wilson	RuSPORT	57	+59.630 secs	7	17
Ronnie Bremer	Dale Coyne Racing	57	+65.852 secs	15	15
Ricardo Sperafico	Dale Coyne Racing	57	+76.292 secs	18	14
Andrew Ranger	Mi-Jack Conquest Racing	57	+93.488 secs	17	11
Marcus Marshall	Team Australia	56	+ 1 Lap	13	10
Michael McDowell	Rocketsports Racing	56	+ 1 Lap	16	9
Rodolfo Lavín	CTE Racing - HVM	53	+ 4 Laps	12	8
Nelson Philippe	Mi-Jack Conquest Racing	47	Off course	14	7
Will Power	Team Australia	29	Contact	11	6
Fabrizio del Monte	CTE Racing - HVM	28	Contact	19	5
Paul Tracy	Forsythe Racing	24	Gearbox	5	5
Mario Domínguez	Forsythe Racing	1	Contact	3	3
Cristiano da Matta	PKV Racing	0	Contact	4	2
