No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
135	1	"A Call to Arms"	James L. Conway	Brad Kern	September12,2004	4301135	5.5
136	2	"The Bare Witch Project"	John T. Kretchmer	Jeannine Renshaw	September19,2004	4301136	4.8
137	3	"Cheaper by the Coven"	Derek Johansen	Mark Wilding	September26,2004	4301137	5.3
138	4	"Charrrmed!"	Mel Damski	Cameron Litvack	October3,2004	4301138	4.7
139	5	"Styx Feet Under"	Christopher Leitch	Henry Alonso Myers	October10,2004	4301139	4.8
140	6	"Once in a Blue Moon"	John T. Kretchmer	Debra J. Fisher & Erica Messer	October17,2004	4301140	4.6
141	7	"Someone to Witch Over Me"	Jon Paré	Rob Wright	October31,2004	4301141	3.9
142	8	"Charmed Noir"	Michael Grossman	Curtis Kheel	November14,2004	4301142	3.9
143	9	"There's Something About Leo"	Derek Johansen	Natalie Antoci & Scott Lipsey	November21,2004	4301143	3.9
144	10	"Witchness Protection"	David Jackson	Jeannine Renshaw	November28,2004	4301144	4.1
145	11	"Ordinary Witches"	Jonathan West	Mark Wilding	January16,2005	4301145	3.5
146	12	"Extreme Makeover: World Edition"	LeVar Burton	Cameron Litvack	January23,2005	4301146	3.5
147	13	"Charmageddon"	John T. Kretchmer	Henry Alonso Myers	January30,2005	4301147	3.9
148	14	"Carpe Demon"	Stuart Gillard	Curtis Kheel	February13,2005	4301148	2.9
149	15	"Show Ghouls"	Mel Damski	Rob Wright & Debra J. Fisher & Erica Messer	February20,2005	4301149	3.2
150	16	"The Seven Year Witch"	Michael Grossman	Jeannine Renshaw	April10,2005	4301150	3.9
151	17	"Scry Hard"	Derek Johansen	Andy Reaser & Doug E. Jones	April17,2005	4301151	3.4
152	18	"Little Box of Horrors"	Jon Paré	Cameron Litvack	April24,2005	4301152	3.9
153	19	"Freaky Phoebe"	Michael Grossman	Mark Wilding	May1,2005	4301153	3.6
154	20	"Imaginary Fiends"	Jonathan West	Henry Alonso Myers	May8,2005	4301154	3.3
155	21	"Death Becomes Them"	John T. Kretchmer	Curtis Kheel	May15,2005	4301155	3.4
