Team	Driver	Laps	Time	Grid
New Zealand	Jonny Reid	14	19'25.408	1
Germany	Christian Vietoris	14	+3.192	4
France	Loïc Duval	14	+4.899	3
South Africa	Adrian Zaugg	14	+7.823	2
Netherlands	Jeroen Bleekemolen	14	+9.581	5
Ireland	Adam Carroll	14	+10.912	7
USA	Jonathan Summerton	14	+11.417	6
Portugal	João Urbano	14	+13.315	14
Australia	John Martin	14	+15.580	15
India	Narain Karthikeyan	14	+22.968	20
Pakistan	Adam Langley-Khan	14	+25.773	22
Italy	Edoardo Piscopo	14	+26.048	12
Brazil	Sérgio Jimenez	14	+26.541	10
China	Cong Fu Cheng	14	+26.773	16
Lebanon	Chris Alajajian	14	+29.483	17
Indonesia	Satrio Hermanto	14	+31.107	21
Mexico	David Garza Perez	14	+31.349	18
Canada	Robert Wickens	11	Spun off	8
Czech Republic	Tomas Enge	10	Collision	19
Great Britain	Robbie Kerr	9	Damage	13
Malaysia	Alex Yoong	0	Collision	9
Switzerland	Neel Jani	0	Collision	11
