State	Interview	Swimsuit	Evening gown	Average
Alabama	8.89	8.30	8.00	8.40
Alaska	9.34	8.45	8.70	8.83
Arizona	9.12	8.15	7.93	8.40
Arkansas	8.71	8.58	8.56	8.62
California	9.26	8.46	8.30	8.67
Colorado	8.51	8.56	8.72	8.60
Connecticut	8.79	7.86	8.03	8.23
Delaware	8.96	8.15	7.95	8.35
District of Columbia	8.95	8.36	8.56	8.62
Florida	8.91	8.80	8.97	8.89
Georgia	8.77	8.04	8.00	8.27
Hawaii	8.61	8.49	8.59	8.56
Idaho	8.46	8.05	7.61	8.04
Illinois	9.21	9.16	8.69	9.01
Indiana	9.18	8.66	8.76	8.87
Iowa	8.60	8.83	8.44	8.62
Kansas	9.09	8.44	8.26	8.60
Kentucky	8.84	8.97	8.84	8.89
Louisiana	8.83	9.03	8.95	8.90
Maine	8.75	8.03	7.84	8.21
Maryland	9.05	8.87	9.12	9.01
Massachusetts	9.12	8.78	9.08	8.98
Michigan	8.86	7.87	8.61	8.45
Minnesota	9.43	8.46	8.79	8.89
Mississippi	8.59	8.24	8.19	8.34
Missouri	8.95	8.87	8.93	8.91
Montana	8.34	7.78	7.52	7.88
Nebraska	8.96	8.08	7.85	8.30
Nevada	8.67	8.54	8.53	8.58
New Hampshire	8.80	8.49	8.19	8.49
New Jersey	9.06	8.24	8.28	8.51
New Mexico	8.89	7.87	8.03	8.26
New York	9.09	8.76	9.34	9.06
North Carolina	8.91	7.91	7.68	8.17
North Dakota	8.69	8.28	8.33	8.43
Ohio	8.92	8.30	8.51	8.58
Oklahoma	9.34	8.80	8.57	8.90
Oregon	8.88	8.16	8.18	8.41
Pennsylvania	8.74	7.67	7.71	8.04
Rhode Island	9.20	8.60	8.97	8.92
South Carolina	8.89	7.99	8.24	8.37
South Dakota	8.25	7.87	7.48	7.87
Tennessee	9.39	8.40	8.60	8.80
Texas	9.22	9.27	9.52	9.33
Utah	9.18	8.10	9.08	8.79
Vermont	8.93	7.87	8.39	8.40
Virginia	8.41	8.05	8.20	8.22
Washington	8.48	7.79	8.14	8.13
West Virginia	8.72	7.77	7.87	8.12
Wisconsin	8.88	7.95	7.65	8.16
Wyoming	8.94	8.51	7.90	8.45
