Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1922	Arthur Evans Snell	C. A. Boone	P. C. G. Campbell H. L. Lafferty	C. A. Boone R. George	P. C. G. Campbell Mrs. P. C. G. Campbell
1923	Cowan McTaggart	Marcelle Brunet	Cowan McTaggart G. H. Gorges	C. A. Boone R. George	G. H. Gorges Mrs. W. M. Stewart
1924	H. T. Douglas	Esme F. Coke	Arthur Evans Snell William M. Stewart	C. A. Boone Esme F. Coke	William M. Stewart Mrs. W. M. Stewart
1925	Cowan McTaggart	Esme F. Coke	Cowan McTaggart Jack Underhill	C. A. Boone Esme F. Coke	J. Kennedy Esme F. Coke
1926	C. Walter Aikman	Esme F. Coke	Reginald H. Hill Jack G. Muir	C. A. Boone Esme F. Coke	Jack G. Muir Eileen George
1927	C. Walter Aikman	Eileen George	Jack G. Muir Jack Underhill	H. Partington Esme F. Coke	C. Walter Aikman K. Archibald
1928	Jack Underhill	Esme F. Coke	G. Blackstock Cyril K. F. Andrews	C. A. Boone Esme F. Coke	C. Walter Aikman K. Archibald
1929	Jack Purcell	Esme F. Coke	Jack G. Muir Noel Radford	V. Mill Eileen George	Jack Underhill Eileen George
1930	Jack Purcell	Yvette Porteous	G. Blackstock Cyril K. F. Andrews	J. Woodman Eileen George	Jack Underhill Eileen George
1931	Jack M. Taylor	Ruth Robertson	G. Blackstock Cyril K. F. Andrews	Marjorie Barrow Margaret Delage	Jack Underhill Eileen George
1932	Jack Underhill	Anna Keir	Jack Underhill Noel Radford	Marjorie Barrow Margaret Delage	Noel Radford Anna Keir
1933	Doug Grant	Ruth Robertson	M. Burrows D. McKean	E. W. Whittington N. Crossley	George Goodwin Jr. Margaret Robertson
1934	Doug Grant	Anna Patrick	Bev Mitchell George Goodwin Jr.	Marjorie Barrow Margaret Delage	Dick Birch Anna Patrick
1935	Rod G. Phelan	Margaret Taylor	Jack Sibbald L. Coles	Margaret Robertson Ruth Robertson	George Goodwin Jr. Margaret Robertson
1936	Doug Grant	Dorothy Walton	E. Laney Jack Underhill	Margaret Robertson Ruth Robertson	Dick Birch Anna Patrick
1937	Dick Birch	Anna Patrick	Jack Sibbald Joe Zaharko	Anna Patrick Vess O'Shea	Dick Birch Anna Patrick
1938	John Samis	Dorothy Walton	Jack Sibbald Rod G. Phelan	Margaret Taylor Vess O'Shea	Len Schlemm N. Bonnar
1939	Dick Birch	Marjorie Delaney	Jack Sibbald Rod G. Phelan	Margaret Taylor Vess O'Shea	Dick Birch Vess O'Shea
1940	Jim Snyder	Dorothy Walton	Jim Snyder Paul Snyder	Dorothy Walton Evelyn Effnert	Dick Birch Vess O'Shea
1941/46	no competition	no competition	no competition	no competition	no competition
1947	John Samis	Claire Lovett	Jack Underhill John Samis	Claire Lovett N. Ma	Dick Birch Barb Ince
1948	Dick Birch	Claire Lovett	Frederick Hughes (Ted) Pollock Roy G. Smith	M. Armstrong Ethel Marshall	Dick Birch Ev Roberts
1949	John Samis	Marjorie Mapp	T. Darryl Thompson K. Meredith	Claire Lovett Jean Bardsley	T. Darryl Thompson Jean Bardsley
1950	Alan Williams	Lois Reid	Grant Henry Dorren Clapperton	Ev Roberts Joan Hennessy	Dick Birch Ev Roberts
1951	T. Darryl Thompson	Kay Ottonson	Dick Birch Gordon Simpson	Lois Reid Jean Bardsley	T. Darryl Thompson Jean Bardsley
1952	Donald Smythe	Marjorie Mapp	Donald Smythe Budd Porter	Barb Ince Joan Warren	Budd Porter Ethel Marshall
1953	Donald Smythe	Marjory Shedd	Donald Smythe Budd Porter	Lois Reid Jean Bardsley	Dick Birch Barb Ince
1954	Donald Smythe	Marjory Shedd	Donald Smythe William Purcell	Marjory Shedd Joan Hennessy	T. Darryl Thompson Jean Bardsley
1955	Donald Smythe	Jean Waring	T. Darryl Thompson Bert Fergus	Marjory Shedd Joan Hennessy	T. Darryl Thompson Jean Bardsley
1956	David McTaggart	Jean Miller	Beverley Westcott William Purcell	Marjory Shedd Joan Hennessy	William Purcell Marjory Shedd
