No.	Player	Club	Games Played	Minutes	Goals Against	GA Average	Wins	Loses
1	Brad Friedel	Columbus Crew	29	2609	35	1.21	14	15
2	Walter Zenga	New England Revolution	22	1980	28	1.27	15	7
3	Jorge Campos	Los Angeles Galaxy	19	1661	24	1.30	12	6
4	Marcus Hahnemann	Colorado Rapids	25	2157	37	1.54	13	10
5	Mike Ammann	Kansas City Wizards	29	2597	45	1.56	21	8
6	Mark Dodd	Dallas Burn	30	2700	48	1.60	14	16
7	Tony Meola	NY/NJ MetroStars	30	2684	48	1.61	12	18
8	David Kramer *	San Jose Clash	21	1831	33	1.62	7	14
9	Scott Garlick	D.C. United	14	1171	22	1.69	9	5
10	Dave Salzwedel	San Jose Clash	20	1679	35	1.88	7	11
