Res.	Record	Opponent	Method	Round	Time	Location
Win	21–7	Luis Palomino	Decision (unanimous)	3	5:00	Coral Gables, Florida , United States
Win	20–7	Zack Surdyka	Decision (unanimous)	3	5:00	Phoenix, Arizona , United States
Win	19–7	Marcus Edwards	Decision (split)	3	5:00	Greeley, Colorado , United States
Loss	18–7	Jorge Patino	Decision (split)	3	5:00	São Paulo, São Paulo , Brazil
Loss	18–6	Tyson Griffin	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Loss	18–5	Mac Danzig	Decision (unanimous)	3	5:00	Atlanta, Georgia , United States
Loss	18–4	Jacob Volkmann	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Win	18–3	Cesar Avila	Submission (guillotine choke)	1	1:55	Yuma, Arizona , United States
Win	17–3	Mike Rio	Decision (unanimous)	3	5:00	Miami, Florida , United States
Loss	16–3	Fabrício Camões	Decision (unanimous)	3	5:00	Lemoore, California , United States
Win	16–2	Ashe Bowman	Decision (unanimous)	3	5:00	Tijuana, Baja California , Mexico
Win	15–2	Jeremy Larsen	Submission (armbar)	3	3:21	Chandler, Arizona , United States
Win	14–2	Alfredo Martinez	Submission (rear-naked choke)	1	1:14	Somerton, Arizona , United States
Loss	13–2	Charles Oliveira	Submission (standing rear-naked choke)	3	2:25	Austin, Texas , United States
Win	13–1	Dan Lauzon	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Loss	12–1	Evan Dunham	Submission (armbar)	3	1:59	Fairfax, Virginia , United States
Win	12–0	Cole Miller	TKO (punches)	1	3:36	Dallas, Texas , United States
Win	11–0	Phillipe Nover	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Win–	10–0	Tommy Wagner	Submission (punches)	1	1:12	Puerto Peñasco, Sonora , Mexico
Win	9–0	Eric Regan	Submission (rear-naked choke)	2	2:15	Tucson, Arizona , United States
Win	8–0	Jon Kecks	Submission (triangle choke)	1	2:04	Tucson, Arizona , United States
Win	7–0	TJ Zasa	Submission (rear-naked choke)	2	0:43	Tucson, Arizona , United States
Win	6–0	Peter Newsheller	Submission (rear-naked choke)	1	1:13	Tucson, Arizona , United States
Win	5–0	Jose Rodriguez	Submission (triangle choke)	1	2:29	Fountain Hills, Arizona , United States
Win	4–0	Nic Stone	Submission (armbar)	2	1:25	Somerton, Arizona , United States
Win	3–0	Mike Smith	Submission (rear-naked choke)	1	2:57	Phoenix, Arizona , United States
Win	2–0	Joe Cronin	Decision (unanimous)	3	3:00	Phoenix, Arizona , United States
Win	1–0	Chris Collado	Submission (choke)	1	N/A	Fountain Hills, Arizona , United States
