School	Location	Mascot	County	Year joined	Previous Conference	Year Left	Conference joined
Kokomo Haworth	Kokomo	Huskies	34 Howard	1971	independent	1984	none (school closed)
Madison Heights	Anderson	Pirates	48 Madison	1971	independent	1997	none (school closed)
Muncie North Side	Muncie	Titans	18 Delaware	1971	none (new school)	1986	none (school closed)
Muncie Southside	Muncie	Rebels	18 Delaware	1971	independent	2010	independent
Carmel	Carmel	Greyhounds	29 Hamilton	1974	Sagamore	1998	Metro
Huntington North	Huntington	Vikings	35 Huntington	1974	Central Indiana	2003	North Central
Anderson Highland	Anderson	Scots	48 Madison	1985	Classic	2010	none (school closed)
Jay County	Portland	Patriots	38 Jay	1985	Classic	2010	independent
Noblesville	Noblesville	Millers	29 Hamilton	1985	Central Suburban	2000	Hoosier Crossroads
Connersville	Connersville	Spartans	21 Fayette	1991	South Central	2010	independent
Brownsburg	Brownsburg	Bulldogs	32 Hendricks	1997	independent	2000	Hoosier Crossroads
Hamilton Southeastern	Fishers	Royals	29 Hamilton	1997	Hoosier Heritage	2000	Hoosier Crossroads
Harrison (West Lafayette)	West Lafayette	Raiders	79 Tippecanoe	1997	Hoosier	2000	Hoosier Crossroads
McCutcheon	Lafayette	Mavericks	79 Tippecanoe	1997	Hoosier	2000	Hoosier Crossroads
