Team #1	Points	Team #2	1st leg	2nd leg
Atlético Mineiro	2–2 (5–6 p )	Goiás	1–1	1–1
La Equidad	1–4	Unión Española	2–2	0–1
Vitória	3–3 (5–3 p )	Coritiba	2–0	0–2
Universidad de Chile	6–0	Deportivo Cali	2–1	1–0
Fluminense	( a ) 2–2	Flamengo	0–0	1–1
Liverpool	1–4	Cienciano	0–0	0–2
River Plate	0–6	Lanús	1–2	0–1
Zamora	0–6	Emelec	0–1	1–2
Atlético Paranaense	1–4	Botafogo	0–0	2–3
LDU Quito	4–1	Libertad	1–0	1–1
Tigre	3–3 ( a )	San Lorenzo	2–1	0–1
Alianza Atlético	4–1	Deportivo Anzoátegui	0–0	2–1
Blooming	0–6	River Plate	0–3	1–2
Boca Juniors	1–4	Vélez Sársfield	1–1	0–1
