Series #	Season #	Title	Director	Writer(s)	Airdate
118	1	" Matt for Murder "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	September 13, 1958
119	2	" The Patsy "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	September 20, 1958
120	3	" Gunsmuggler "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	September 27, 1958
122	5	" Letter of the Law "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	October 11, 1958
123	6	" Thoroughbreds "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	October 18, 1958
124	7	" Stage Hold-Up "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	October 25, 1958
125	8	" Lost Rifle "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	November 1, 1958
126	9	" Land Deal "	Ted Post Category:Articles with hCards	Les Crutchfield Category:Articles with hCards	November 8, 1958
127	10	" Lynching Man "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	November 15, 1958
128	11	" How to Kill a Friend "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	November 22, 1958
129	12	" Grass "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	November 29, 1958
130	13	" The Cast "	Jesse Hibbs Category:Articles with hCards	John Meston Category:Articles with hCards	December 6, 1958
131	14	" Robber Bridegroom "	Richard Whorf Category:Articles with hCards	John Meston Category:Articles with hCards	December 13, 1958
132	15	" Snakebite "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	December 20, 1958
134	17	" Young Love "	Seymour Berns Category:Articles with hCards	John Meston Category:Articles with hCards	January 3, 1959
136	19	" Passive Resistance "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	January 17, 1959
138	21	" Jayhawkers "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	January 31, 1959
140	23	" Sky "	Ted Post Category:Articles with hCards	Les Crutchfield Category:Articles with hCards	February 14, 1959
141	24	" Doc Quits "	Edward Ludlum Category:Articles with hCards	John Meston Category:Articles with hCards	February 21, 1959
142	25	" The Bear "	Jesse Hibbs Category:Articles with hCards	John Meston Category:Articles with hCards	February 28, 1959
143	26	" The Coward "	Jesse Hibbs Category:Articles with hCards	John Meston Category:Articles with hCards	March 7, 1959
144	27	" The F.U. "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	March 14, 1959
145	28	" Wind "	Arthur Hiller Category:Articles with hCards	John Meston Category:Articles with hCards	March 21, 1959
146	29	" Fawn "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	April 4, 1959
148	31	" Murder Warrant "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	April 18, 1959
149	32	" Change of Heart "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	April 25, 1959
150	33	" Buffalo Hunter "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	May 2, 1959
151	34	" The Choice "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	May 9, 1959
152	35	" There Never Was a Horse "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	May 16, 1959
153	36	" Print Asper "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	May 23, 1959
154	37	" The Constable "	Arthur Hiller Category:Articles with hCards	John Meston Category:Articles with hCards	May 30, 1959
