Pick #	Player	Position	Nationality	NHL team	College/junior/club team
103	Patrick Emond	Centre	Canada	Pittsburgh Penguins	Hull Olympiques (QMJHL)
104	Brian Johnson	Defence	United States	Hartford Whalers	Silver Bay High School (USHS-MN)
105	Gord Mark	Defence	Canada	New Jersey Devils	Kamloops Blazers (WHL)
106	Chris Pusey	Goaltender	Canada	Detroit Red Wings	Brantford Alexanders (OHL)
107	Dave Lundmark	Defence	United States	Los Angeles Kings	Virginia High School (USHS-MN)
108	Kevin Stevens	Centre	United States	Los Angeles Kings	Silver Lake High School (USHS-MA)
109	Joel Baillargeon	Left Wing	Canada	Winnipeg Jets	Hull Olympiques (QMJHL)
110	Dave Lowry	Left Wing	Canada	Vancouver Canucks	London Knights (OHL)
111	Grant Blair	Goaltender	Canada	Calgary Flames	Harvard University (ECAC)
112	Brad Walcot	Defence	Canada	Quebec Nordiques	Kingston Canadians (OHL)
113	Bob Alexander	Defence	United States	New York Rangers	Rosemount High School (USHS-MN)
114	Jim Hofford	Defence	Canada	Buffalo Sabres	Windsor Spitfires (OHL)
115	Jari Torkki	Left Wing	Finland	Chicago Black Hawks	Rauma (Finland)
116	Tom McComb	Defence	United States	Minnesota North Stars	Mount St. Charles Academy (USHS-RI)
117	Darin Illikainen	Left Wing	United States	New York Islanders	Hermantown High School (USHS-MN)
118	Arto Javanainen	Right Wing	Finland	Montreal Canadiens	Pori (Finland)
119	Mark LaVarre	Right Wing	United States	Chicago Black Hawks	Stratford Cullitons (MWJBHL)
120	Don Barber	Left Wing	Canada	Edmonton Oilers	Kelowna Buckaroos (BCJHL)
121	Rick Tocchet	Right Wing	Canada	Philadelphia Flyers	Sault Ste. Marie Greyhounds (OHL)
122	Terry Taillefer	Goaltender	Canada	Boston Bruins	St. Albert Saints (AJHL)
