Pick #	MLS Team	Player	Position	Affiliation
15	San Jose Earthquakes	Shea Salinas	M	Furman Carolina Dynamo
16	New York Red Bulls	Eric Brunner	D	Ohio State Michigan Bucks
17	Real Salt Lake	* Alex Nimo	F	Generation adidas
18	New England Revolution	Michael Videira	M	Duke Cary RailHawks U23's
19	FC Dallas	* Eric Avila	M	UC Santa Barbara Ventura County Fusion
20	Columbus Crew	George Josten	M/F	Gonzaga Michigan Bucks
21	Los Angeles Galaxy	Ely Allen	F/M	Washington
22	Columbus Crew	Ricardo Pierre-Louis	F	Lee University Cape Cod Crusaders
23	Kansas City Wizards	Yomby William	D	Old Dominion Hampton Roads Piranhas
24	D.C. United	Andrew Jacobson	M	California
25	Kansas City Wizards	Jonathan Leathers	D	Furman Atlanta Silverbacks U23's
26	Chicago Fire	Peter Lowry	M/F	Santa Clara San Jose Frogs
27	New England Revolution	Joe Germanese	M	Duke Cary RailHawks U23's
28	Toronto FC	Brian Edwards	GK	Wake Forest
