Rank	Name	Height (m)	Height (ft)	Floors
1	BT Tower	152	499	5
2	10 Holloway Circus	130	427	40
3	Alpha Tower	100	328	28
4	Joseph Chamberlain Memorial Clock Tower	99.06	325	N/A
5=	Orion Building	90	295	28
5=	Clydesdale Tower	90	295	32
5=	Cleveland Tower	90	295	32
8	The Rotunda	81	266	23
9=	103 Colmore Row	80	262	23
9=	Tyseley Energy from Waste Plant	80	262	N/A
11=	Centre City Tower	76	249	21
11=	Five Ways Tower	76	249	22
13=	Hyatt Regency	75	246	24
13=	Two Snowhill	75	246	15
15	1 Snow Hill Plaza	72	236	20
16	The Cube	70.4	231	23
17=	Londonderry House	70	230	17
17=	Colmore Gate	70	230	15
17=	Quayside Tower	70	230	19
20=	The McLaren Building	69	226	21
20=	Metropolitan House	69	226	19
20=	Edgbaston House	69	226	18
23	Midland Building	67	220	17
24	Bank House	66	217	20
25	Brindley House	65	213	18
26=	Fifty4 Hagley Road	64	210	18
26=	Cumberland House	64	210	18
28=	Centenary Plaza	63	207	20
28=	Queen Elizabeth Hospital	63	207	14
30=	Muirhead Tower	62	203	15
30=	Hagley House	62	203	17
32=	St Martin in the Bull Ring	61	200	N/A
32=	Trident House	61	200	19
32=	Jurys Inn	61	200	18
35=	Library of Birmingham	60	197	10
35=	Aston Student Village Phase I	60	197	18
35=	Aston Student Village Phase II	60	197	18
38=	Briarley	59	194	21
38=	Churchill House	59	194	21
38=	Windsor House	59	194	14
36=	Lloyd House	59	194	13
38=	Lyndon House	59	194	17
38=	Clyde Tower	59	194	20
43=	Auchinleck House	58	190	13
45=	Church of St Peter and St Paul	58	190	N/A
45=	Barry Jackson Tower	58	190	20
45=	Stafford Tower	58	190	21
49=	Warstone Tower	57	187	20
49=	One Snowhill	57	187	12
47=	City Centre House	57	187	13
49=	Pritchett Towers	57	187	20
49=	Hodgson Tower	57	187	20
49=	Sapphire Tower	57	187	20
49=	Durham Tower	57	187	20
49=	Studley Tower	57	187	20
49=	Victor Tower	57	187	20
49=	Century Tower	57	187	20
49=	Holbrooke Tower	57	187	20
49=	Salisbury Tower	57	187	20
49=	Brinklow Tower	57	187	20
49=	Canterbury Tower	57	187	20
49=	Wickets Tower	57	187	20
49=	Wilmcote Tower	57	187	20
65	Three Brindleyplace	55	180	13
66	Block M Masshouse Circus	54.5	179	15
67=	Colmore Plaza	54	177	14
67=	Albany House	54	177	12
69=	Normansell Tower	52	171	18
69=	Norfolk Tower	52	171	18
69=	Cornwall Tower	52	171	18
69=	Eight Brindleyplace	52	171	14
73=	Axis	51	167	12
73=	1 Colmore Row	51	167	12
75=	Orion Building Phase 2	50	164	16
75=	Block H & I Masshouse Circus	50	164	14
75=	West2	50	164	12
75=	130 New Street	50	164	12
75=	Ladywood House	50	164	12
75=	12 Calthorpe Road	50	164	12
75=	Aston University Main Building	50	164	12
75=	One Martineau Place	50	164	12
75=	Tricorn House	50	164	12
75=	Lakeside West Building	50	164	16
75=	Edmund House	50	164	12
75=	Embassy House	50	164	12
75=	Canterbury House	50	164	12
75=	Alcoa Aluminium Plant Chimney 1	50	164	N/A
75=	Alcoa Aluminium Plant Chimney 2	50	164	N/A
75=	Alcoa Aluminium Plant Chimney 3	50	164	N/A
