Week	Date	Opponent	Result	Venue	Start Time	Attendance
1	September 12, 2005	Atlanta Falcons	L 14–10	Georgia Dome	9:00 PM EST	70,806
2	September 18, 2005	San Francisco 49ers	W 42–3	Lincoln Financial Field	1:00 PM EST	67,727
3	September 25, 2005	Oakland Raiders	W 23–20	Lincoln Financial Field	1:00 PM EST	67,735
4	October 2, 2005	Kansas City Chiefs	W 37–31	Arrowhead Stadium	1:00 PM EST	78,742
5	October 9, 2005	Dallas Cowboys	L 33–10	Texas Stadium	4:15 PM EST	63,199
6	Bye	Bye	Bye	Bye	Bye	Bye
7	October 23, 2005	San Diego Chargers	W 20–17	Lincoln Financial Field	1:00 PM EST	67,747
8	October 30, 2005	Denver Broncos	L 49–21	Invesco Field at Mile High	4:15 PM EST	76,530
9	November 6, 2005	Washington Redskins	L 17–10	FedEx Field	8:30 PM EST	90,298
10	November 14, 2005	Dallas Cowboys	L 21–20	Lincoln Financial Field	9:00 PM EST	67,739
11	November 20, 2005	New York Giants	L 27–17	Giants Stadium	1:00 PM EST	78,626
12	November 27, 2005	Green Bay Packers	W 19–14	Lincoln Financial Field	4:15 PM EST	67,665
13	December 5, 2005	Seattle Seahawks	L 42–0	Lincoln Financial Field	9:00 PM EST	67,637
14	December 11, 2005	New York Giants	L 26–23 (OT)	Lincoln Financial Field	4:05 PM EST	67,443
15	December 18, 2005	St. Louis Rams	W 17–16	Edward Jones Dome	4:15 PM EST	65,382
16	December 24, 2005	Arizona Cardinals	L 27–21	Sun Devil Stadium	4:00 PM EST	44,723
17	January 1, 2006	Washington Redskins	L 31–20	Lincoln Financial Field	4:15 PM EST	67,700
