1985	1990	2004	2005	2006	2007
82,040	81,339	129,362	129,955	133,768	138,208
46,261	40,368	70,134	73,285	79,918	96,032
37,674	38,986	32,220	30,724	28,308	27,982
10,940	11,636	12,029	12,173	11,979	11,896
14,097	12,687	11,061	10,717	10,733	10,068
14,744	11,885	9,383	9,725	9,510	9,171
5,513	5,805	8,391	8,695	8,021	8,001
6,490	5,892	8,287	8,231	7,819	7,703
n	n	7,720	8,099	8,350	8,752
5,251	6,699	7,965	8,111	8,334	7,614
9,391	9,984	6,592	6,405	6,426	6,375
9,848	10,114	6,522	6,507	6,254	6,171
3,403	4,717	5,575	5,588	5,789	6,017
8,626	8,825	6,115	5,999	5,955	5,783
8,836	8,041	7,324	7,124	6,834	5,204
4,391	4,675	4,942	4,956	5,075	5,110
5,337	6,501	5,199	5,361	5,293	5,027
6,625	6,615	5,232	5,107	4,983	4,841
6,312	5,172	4,520	4,551	4,672	4,770
n	n	768	917	2,389	4,252
3,082	3,061	3,632	3,671	3,537	3,505
1,435	2,138	2,634	2,406	2,639	3,003
3,144	3,557	2,992	2,788	2,742	2,653
1,763	2,861	2,817	2,821	2,585	2,515
2,663	2,753	2,468	2,437	2,491	2,401
1,017	934	1,571	1,593	1,851	1,894
3,510	3,566	2,298	2,009	1,997	1,849
10,611	6,592	2,152	1,908	1,842	1,727
n	n	1,885	1,841	1,791	1,655
641	948	1,307	1,297	1,276	1,261
657	718	1,289	1,288	1,218	1,215
1,123	1,280	921	898	1,047	1,013
n	n	1,213	1,067	923	962
803	603	1,063	1,034	884	956
516	659	1,078	963	967	849
n	n	517	583	618	678
n	n	625	659	640	677
670	620	619	675	681	645
n	462	605	569	550	567
325	386	474	440	450	520
1,264	1,324	454	456	496	489
n	91	281	297	337	426
869	1,015	389	384	372	374
428	844	448	395	386	349
798	907	205	175	294	347
n	n	725	760	669	682
n	n	326	317	412	344
n	n	125	476	400	333
n	n	231	263	213	297
n	n	267	265	242	246
679	773	271	244	234	232
385	436	274	234	232	208
n	n	222	211	184	172
96	125	38	108	141	165
n	n	136	139	144	144
n	n	238	181	165	86
n	n	341	251	185	74
n	n	65	58	60	57
16	16	37	38	36	34
n	n	10	13	14	17
