Season	Competition	Round	Opponent	Home	Away	Series
1970–71	Inter-Cities Fairs Cup	R1	Dundee United	0–0	2–3	2–3
1971–72	European Cup	R1	Reipas Lahti	8–0	1–1	9–1
1971–72	European Cup	R2	Arsenal	0–2	0–3	0–5
1972–73	UEFA Cup	R1	Nîmes Olympique	2–1	2–1	4–2
1972–73	UEFA Cup	R2	Ararat Yerevan	1–3	2–4	3–7
1973–74	UEFA Cup	R1	Tottenham Hotspur	1–5	1–4	2–9
1974–75	UEFA Cup	R1	Panathinaikos	2–0	1–2	3–2
1974–75	UEFA Cup	R2	Real Zaragoza	2–1	0–5	2–6
1975–76	UEFA Cup	R1	Real Sociedad	3–3	1–1	4–4 ( a )
1976–77	UEFA Cup	R1	Hibernians	7–0	2–0	9–0
1976–77	UEFA Cup	R2	1. FC Köln	2–3	0–2	2–5
1977–78	UEFA Cup	R1	BK Frem	6–1	2–0	8–1
1977–78	UEFA Cup	R2	TJ Internacionál	5–1	0–1	5–2
1977–78	UEFA Cup	R3	Dinamo Tbilisi	4–0	0–1	4–1
1977–78	UEFA Cup	QF	Eintracht Frankfurt	1–0	2–3	3–3 ( a )
1977–78	UEFA Cup	SF	SC Bastia	3–2	0–1	3–3 ( a )
1978–79	European Cup	R1	Valletta	8–0	5–3	13–3
1978–79	European Cup	R2	Real Madrid	2–0	1–3	3–3 ( a )
1978–79	European Cup	QF	Nottingham Forest	1–1	1–4	2–4
1979–80	UEFA Cup	R1	FC Progrès Niedercorn	4–0	2–0	6–0
1979–80	UEFA Cup	R2	Ipswich Town	0–0	1–1	1–1 ( a )
1979–80	UEFA Cup	R3	VfB Stuttgart	0–2	0–3	0–5
