Player	Nationality	Position	Years for Grizzlies	School/Club Team
Sam Mack	United States	Guard-Forward	1997-1998	Houston
Rich Manning	United States	Forward / Center	1995-1997	Washington
Cuonzo Martin	United States	Guard-Forward	1995-1996	Purdue
Darrick Martin	United States	Point guard	1995-1996	UCLA
Tony Massenburg	United States	Power forward	1997-1999, 2000-2002	Maryland
Lee Mayberry	United States	Point guard	1996-1999	Arkansas
O.J. Mayo	United States	Shooting guard	2008-2012	USC
Darko Miličić	Serbia	Center	2007-2009	KK Hemofarm ( Serbia )
Mike Miller	United States	Small forward	2003-2008	Florida
Eric Mobley	United States	Center	1995-1997	Pittsburgh
Lawrence Moten	United States	Shooting guard	1995-1997	Syracuse
Eric Murdock	United States	Point guard	1995-1996	Providence
