Squad No.	Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Total Apps	Total Goals
2	Andy Holdsworth	DF	30 (4)	0	1	0	2	0	1	0	34 (4)	0
3	Joe Skarz	DF	9	1	1	0	0	0	0 (1)	0	10 (1)	1
4	Michael Collins	MF	34 (2)	9	1	1	0 (1)	0	1	0	36 (3)	10
5	Ian Craney	MF	23 (11)	5	1	1	0	0	0	0	24 (11)	6
6	Nathan Clarke	DF	38	3	1	0	1	0	0	0	40	3
7	Keigan Parker	FW	14 (6)	2	0	0	1 (1)	0	1	0	16 (7)	2
8	Jon Worthington	MF	12 (7)	0	0	0	2	1	0 (1)	0	14 (8)	1
9	Danny Cadamarteri	FW	24 (8)	2	0 (1)	0	2	0	1	0	27 (9)	2
10	Michael Flynn	MF	18 (7)	4	0	0	2	1	0	0	20 (7)	5
11	Jim Goodwin	MF	35 (2)	1	1	0	1 (1)	0	0	0	37 (3)	1
12	Tom Clarke	DF	11 (4)	1	0	0	0	0	1	0	12 (4)	1
14	Phil Jevons	FW	12 (11)	2	1	0	0 (1)	0	0	0	13 (12)	2
15	Malvin Kamara	MF	0 (2)	0	0	0	0 (2)	0	0	0	0 (4)	0
16	Robbie Williams	DF	31 (4)	0	1	1	2	1	1	0	35 (4)	2
17	Gary Roberts	MF	43	9	1	0	2	2	1	0	47	11
18	Andy Butler	DF	42	4	1	0	1	0	0 (1)	0	44 (1)	4
19	Luke Beckett	FW	0 (1)	0	0	0	2	0	0	0	2 (1)	0
19	Anthony Pilkington	MF	16	2	0	0	0	0	0	0	16	2
20	Chris Lucketti	DF	12 (1)	0	0	0	2	0	1	0	15 (1)	0
21	David Unsworth	DF	4	0	0	0	0	0	1	0	5	0
22	James Berrett	MF	8 (1)	1	0	0	0	0	1	0	9 (1)	1
23	Andy Booth	FW	9 (11)	8	0	0	0	0	0	0	9 (11)	8
25	Steve Jones	FW	2 (2)	0	0	0	0	0	0	0	2 (2)	0
25	Dominik Werling	DF	0 (3)	0	0	0	0	0	0	0	0 (3)	0
26	Simon Eastwood	GK	1	0	0	0	0	0	0	0	1	0
27	Matt Glennon	GK	18	0	1	0	2	0	0	0	21	0
28	Alex Smithies	GK	27	0	0	0	0	0	1	0	28	0
29	Liam Dickinson	FW	13	6	0	0	0	0	0	0	13	6
29	Martin Kelly	DF	7	1	0	0	0	0	0	0	7	1
32	Daniel Broadbent	FW	0 (1)	0	0	0	0	0	0	0	0 (1)	0
34	Lionel Ainsworth	MF	7 (7)	0	0	0	0	0	0	0	7 (7)	0
36	Lukas Jutkiewicz	FW	6 (1)	0	0	0	0	0	0	0	6 (1)	0
