Week	Opponent	Result	Stadium	Record	Attenmdance
1	at Oakland Raiders	W: 17–14	Frank Youell Field	1–0–0	21,126
2	at San Diego Chargers	W: 33–28	Balboa Stadium	2–0–0	20,568
3	New York Jets	W: 26–10	Fenway Park	3–0–0	22,716
4	at Denver Broncos	W: 39–10	Mile High Stadium	4–0–0	15,485
5	San Diego Chargers	L: 26–17	Fenway Park	4–1–0	35,096
6	Oakland Raiders	T: 43–43	Fenway Park	4–1–1	23,279
7	Kansas City Chiefs	W: 24–7	Fenway Park	5–1–1	27,400
8	at New York Jets	L: 35–14	Shea Stadium	5–2–1	45,003
9	Houston Oilers	W: 25–24	Fenway Park	6–2–1	28,161
10	at Buffalo Bills	W: 36–28	War Memorial Stadium	7–2–1	42,308
11	Denver Broncos	W: 12–7	Fenway Park	8–2–1	24,979
12	at Houston Oilers	W: 34–17	Jeppesen Stadium	9–2–1	17,560
13	at Kansas City Chiefs	W: 31–24	Municipal Stadium	10–2–1	13,166
14	BYE Week	BYE Week	BYE Week	BYE Week	BYE Week
15	Buffalo Bills	L: 24–14	Fenway Park	10–3–1	38,021
