Title	Time	Writer(s)	Performer(s)	Producer(s)	Recorded at
"Intro"	2:01	Violent J Eric Davie	Violent J	Violent J Eric Davie Akuma	The Cabin in the Woods Studio
"Wake Up"	3:50	Violent J Mike E. Clark	Violent J	Mike E. Clark	FunHouse Studios
"Fight Club"	3:27	Violent J Mike E. Clark	Violent J Necro Esham	Mike E. Clark	FunHouse Studios
"When I Rap"	2:05	Violent J Eric Davie	Violent J	Violent J Eric Davie Akuma	The Cabin in the Woods Studio
"Candy Land"	4:00	Violent J Esham	Violent J Esham	Violent J Mike E. Clark	FunHouse Studios
"Get Out The Way"	3:03	Violent J Mike E. Clark	Violent J	Mike E. Clark	The Cabin in the Woods Studio
"14 Year Old"	4:03	Violent J Mike E. Clark	Violent J	Mike E. Clark	The Cabin in the Woods Studio
"I Get Mad"	3:32	Violent J Mike E. Clark	Violent J	Mike E Clark	The Cabin in the Woods Studio
"Faster"	4:22	Violent J Mike E. Clark	Violent J	Mike E Clark	The Cabin in the Woods Studio
"Jealousy"	3:25	Violent J Mike E. Clark	Violent J Razor Ray	Mike E. Clark	FunHouse Studios
"Home Invasion"	4:03	Violent J Mike E. Clark	Violent J Shaggy 2 Dope	Mike E. Clark	The Cabin in the Woods Studio
"4 The Hoes"	2:50	Violent J Eric Davie	Violent J	Violent J Eric Davie Akuma	The Cabin in the Woods Studio
"Pyromaniac"	3:37	Violent J Mike E. Clark	Violent J	Mike E. Clark	The Cabin in the Woods Studio
"Let It Go"	3:16	Violent J Mike E. Clark	Violent J	Mike E Clark	The Cabin in the Woods Studio
"Freeway Killer"	5:16	Violent J Mike E Clark	Violent J	Mike E Clark	The Cabin in the Woods Studio
