Round	Pick	Overall	Name	Position	College
2	20	46	Eugene Epps	DB	Texas-El Paso
3	10	62	Ed Cross	RB	Arkansas AM&N [j ]
5	10	114	Bill Kishman	DB	Colorado State
6	9	139	Harold McLinton	LB	Southern
7	10	166	Jeff Anderson	RB	Virginia
7	17	173	John Didion	C	Oregon State
8	9	191	Larry Brown	RB	Kansas State
11	9	269	Eric Norri	DT	Notre Dame
12	9	295	Bob Shannon	DB	Tennessee State
13	11	322	Mike Shook	DB	North Texas State [c ]
14	9	347	Rick Brand	DT	Virginia
15	10	374	Paul Rogers	OT	Virginia
16	9	399	Mike Washington	LB	Southern
17	10	426	Rich Dobbert	DE	Springfield
