Date	Venue	Score	Result	Competition
14 March 2001	St. George's	2–0	2–0	2001 Windward Islands Tournament
23 May 2004	Warner Park Sporting Complex , Basseterre	2–2	2–3	Friendly
13 June 2004	Estadio Cacique Diriangén , Diriamba	2–1	2–2	2006 FIFA World Cup qualifier
20 June 2004	Arnos Vale Stadium , Kingstown	1–0	4–1	2006 FIFA World Cup qualifier
20 June 2004	Arnos Vale Stadium, Kingstown	3–1	4–1	2006 FIFA World Cup qualifier
13 October 2004	Warner Park Sporting Complex, Bassaterre	2–0	3–0	2006 FIFA World Cup qualifier
26 November 2004	Arnos Vale Stadium, Kingstown	3–1	3–3	2005 Caribbean Cup qualifier
28 November 2004	Arnos Vale Stadium, Kingstown	1–0	4–0	2005 Caribbean Cup qualifier
12 December 2004	Kingstown	1–0	3–1	2005 Caribbean Cup qualifier
1 October 2006	Independence Park , Kingston	2–0	8–0	2007 Caribbean Cup qualifier
1 October 2006	Independence Park, Kingston	3–0	8–0	2007 Caribbean Cup qualifier
1 October 2006	Independence Park, Kingston	5–0	8–0	2007 Caribbean Cup qualifier
1 October 2006	Independence Park, Kingston	6–0	8–0	2007 Caribbean Cup qualifier
1 October 2006	Independence Park, Kingston	8–0	8–0	2007 Caribbean Cup qualifier
1 November 2006	Victoria Park , Kingstown	?–0	4–1	2006 Independence Cup
1 November 2006	Victoria Park, Kingstown	?–0	4–1	2006 Independence Cup
19 November 2006	Barbados National Stadium , St. Michael	2–0	3–0	2007 Caribbean Cup qualifier
19 November 2006	Barbados National Stadium, St. Michael	3–0	3–0	2007 Caribbean Cup qualifier
23 November 2006	Barbados National Stadium, St. Michael	1–1	3–2	2007 Caribbean Cup qualifier
23 November 2006	Barbados National Stadium, St. Michael	2–1	3–2	2007 Caribbean Cup qualifier
14 January 2007	Manny Ramjohn Stadium , Marabella	1–0	2–0	2007 Caribbean Cup
6 October 2010	Victoria Park, Kingstown	1–0	7–0	2010 Caribbean Cup qualifier
6 October 2010	Victoria Park, Kingstown	2–0	7–0	2010 Caribbean Cup qualifier
6 October 2010	Victoria Park, Kingstown	5–0	7–0	2010 Caribbean Cup qualifier
2 November 2010	Manny Ramjohn Stadium, Marabella	1–1	2–6	2010 Caribbean Cup qualifier
4 November 2010	Manny Ramjohn Stadium, Marabella	1–2	1–3	2010 Caribbean Cup qualifier
28 August 2011	Standford Cricket Ground , Saint George Parish	2–1	2–2	Friendly
30 March 2012	Victoria Park, Kingstown	1–0	1–0	Friendly
1 April 2012	Arnos Vale Stadium, Arnos Vale	1–2	1–2	Friendly
