Name	Years	Gender	Area	Authority	Decile
Chanel College	7–13	Coed	Masterton	Integrated	5
Douglas Park School	1–6	Coed	Masterton	State	4
Fernridge School	1–6	Coed	Fernridge	State	4
Hadlow Preparatory School	1–8	Coed	Masterton	Integrated	8
Lakeview School	1–8	Coed	Masterton	State	2
Makoura College	9–13	Coed	Masterton	State	2
Masterton Intermediate	7–8	Coed	Masterton	State	5
Masterton Primary School	1–6	Coed	Kuripuni	State	3
Mauriceville School	1–8	Coed	Mauriceville	State	5
Opaki School	1–8	Coed	Opaki	State	10
Rathkeale College	9–13	Boys	Opaki	Integrated	9
Solway College	7–13	Girls	Masterton	Integrated	8
Solway School	1–6	Coed	Masterton	State	6
St Matthew's Collegiate	7–13	Girls	Masterton	Integrated	9
St Patrick's School	1–6	Coed	Masterton	Integrated	5
Tinui School	1–8	Coed	Tinui	State	6
TKKM o Wairarapa	1–15	Coed	Masterton	State	2
Wainuioru School	1–8	Coed	Wainuioru	State	9
Wairarapa College	9–13	Coed	Masterton	State	6
Wairarapa Teen Parent Unit	9–13	–	Masterton	State	1
Whareama School	1–8	Coed	Whareama	State	10
