Grand Prix	Pole position	Fastest lap	Winning driver	Winning constructor	Report
Australian Grand Prix	Sebastian Vettel	Felipe Massa	Sebastian Vettel	Red Bull - Renault	Report
Malaysian Grand Prix	Sebastian Vettel	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
Chinese Grand Prix	Sebastian Vettel	Mark Webber	Lewis Hamilton	McLaren - Mercedes	Report
Turkish Grand Prix	Sebastian Vettel	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
Spanish Grand Prix	Mark Webber	Lewis Hamilton	Sebastian Vettel	Red Bull - Renault	Report
Monaco Grand Prix	Sebastian Vettel	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
Canadian Grand Prix	Sebastian Vettel	Jenson Button	Jenson Button	McLaren - Mercedes	Report
European Grand Prix	Sebastian Vettel	Sebastian Vettel	Sebastian Vettel	Red Bull - Renault	Report
British Grand Prix	Mark Webber	Fernando Alonso	Fernando Alonso	Ferrari	Report
German Grand Prix	Mark Webber	Lewis Hamilton	Lewis Hamilton	McLaren - Mercedes	Report
Hungarian Grand Prix	Sebastian Vettel	Felipe Massa	Jenson Button	McLaren - Mercedes	Report
Belgian Grand Prix	Sebastian Vettel	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
Italian Grand Prix	Sebastian Vettel	Lewis Hamilton	Sebastian Vettel	Red Bull - Renault	Report
Singapore Grand Prix	Sebastian Vettel	Jenson Button	Sebastian Vettel	Red Bull - Renault	Report
Japanese Grand Prix	Sebastian Vettel	Jenson Button	Jenson Button	McLaren - Mercedes	Report
Korean Grand Prix	Lewis Hamilton	Sebastian Vettel	Sebastian Vettel	Red Bull - Renault	Report
Indian Grand Prix	Sebastian Vettel	Sebastian Vettel	Sebastian Vettel	Red Bull - Renault	Report
Abu Dhabi Grand Prix	Sebastian Vettel	Mark Webber	Lewis Hamilton	McLaren - Mercedes	Report
Brazilian Grand Prix	Sebastian Vettel	Mark Webber	Mark Webber	Red Bull - Renault	Report
