Week	Date	Opponent	Result	TV Time	Attendance
1	September 8, 2002	at Denver Broncos	L 23-16	FOX 3:15pm	75,710
2	September 15, 2002	New York Giants	L 26-21	FOX 3:15pm	65,932
3	September 23, 2002	at Tampa Bay Buccaneers	L 26-14	ABC 8:00pm	65,652
4	September 29, 2002	Dallas Cowboys	L 13-10	FOX 12:00pm	66,165
5	October 6, 2002	at San Francisco 49ers	L 37-13	FOX 3:15pm	67,853
6	October 13, 2002	Oakland Raiders	W 28-13	CBS 3:15pm	66,070
7	October 20, 2002	Seattle Seahawks	W 37-20	FOX 12:00pm	65,931
8	Bye	Bye	Bye	Bye	Bye
9	November 3, 2002	at Arizona Cardinals	W 27-14	FOX 3:05pm	47,819
10	November 10, 2002	San Diego Chargers	W 28-24	CBS 12:00pm	66,093
11	November 18, 2002	Chicago Bears	W 21-16	ABC 8:00pm	66,250
12	November 24, 2002	at Washington Redskins	L 20-17	FOX 12:00pm	79,823
13	December 1, 2002	at Philadelphia Eagles	L 10-3	FOX 3:15pm	65,552
14	December 8, 2002	at Kansas City Chiefs	L 49-10	FOX 12:00pm	78,601
15	December 15, 2002	Arizona Cardinals	W 30-28	ESPN 7:30pm	65,939
16	December 22, 2002	at Seattle Seahawks	L 30-10	FOX 3:05pm	63,953
17	December 30, 2002	San Francisco 49ers	W 31-20	ABC 8:00pm	66,118
