Name	Country	City	Mission's Country	Start Date
John William, Baron Ripperda	Spain	Madrid	Kingdom of Great Britain	April13,1726
José Manuel Balmaceda	Chile	Santiago	Argentina	August 29, 1891
Leonardo Argüello Barreto	Nicaragua	Managua	Mexico	May26,1947
Víctor Raúl Haya de la Torre	Peru	Lima	Colombia	January3,1949
Jacobo Arbenz Guzmán	Guatemala	Guatemala City	Mexico	June27,1954
Imre Nagy	Hungary	Budapest	Yugoslavia	November4,1956
József Mindszenty	Hungary	Budapest	United States	November4,1956
Reino Häyhänen	France	Paris	United States	November4,1956
Sharif Ali bin al-Hussein	Iraq	Baghdad	Saudi Arabia	July15,1958
Humberto Delgado	Portugal	Lisbon	Brazil	January12,1959
The Siberian Seven	Soviet Union	Moscow	United States	June27,1978
Ange Patasse	Central African Republic	Bangui	France	February27,1982
Francisco René Bobadilla Palomo	Guatemala	Guatemala City	Brazil	1982
Fang Lizhi and his wife	China PRC	Beijing	United States	June5,1989
Hou Dejian	China PRC	Beijing	Australia	June1989
Manuel Noriega	Panama	Ciudad de Panama	Holy See	December24,1989
Michel Aoun	Lebanon	Beirut	France	October1990
Erich Honecker	Russia	Moscow	Chile	December24,1991
Mohammad Najibullah	Afghanistan	Kabul	United Nations	April 16, 1992
Sylvestre Ntibantunganya	Burundi	Bujumbura	United States	July23,1996
Abdullah Öcalan	Kenya	Nairobi	Greece	January1999
João Bernardo Vieira	Guinea-Bissau	Bissau	Portugal	May1999
Alassane Ouattara	Côte d'Ivoire	Abidjan	France	September19,2002
Morgan Tsvangirai	Zimbabwe	Harare	The Netherlands	June22,2008
Anwar Ibrahim	Malaysia	Kuala Lumpur	Turkey	June29,2008
Andry Rajoelina	Madagascar	Antananarivo	France	March 6, 2009
Manuel Zelaya	Honduras	Tegucigalpa	Brazil	September21,2009
Shahram Amiri	United States	Washington D.C.	Pakistan	July13,2010
Wang Lijun	China PRC	Chengdu	United States	February6,2012
Amadou Toumani Touré	Mali	Bamako	Senegal	April18,2012
Chen Guangcheng	China PRC	Beijing	United States	April26,2012 ?
Roger Pinto	Bolivia	La Paz	Brazil	May28,2012
Julian Assange	United Kingdom	London	Ecuador	June19,2012
Mohamed Nasheed	Republic of Maldives	Malé	India	February13,2013
Bosco Ntaganda	Rwanda	Kigali	United States	March18,2013
