Name	Position	Height	Weight	Date of Birth	Home Team
Thomas Barker	Midfield	179cm	76kg	10 Apr 1985	Sheffield Steelers
Myles Bonnar	Attack	183cm	80kg	6 Nov 1987	Stirling Uni.
Jordan Coffey	Attack	182cm	83kg	2 Apr 1987	Ajax Rock
Stuart Craig	Midfield	190cm	82kg	20 Mar 1987	Wilmslow
Nicholas Duncan-Price	Midfield	180cm	80kg	21 Sep 1979	University of Bath
Jesse Fehr	Attack	183cm	88kg	29 Apr 1987	Harvard University
Douglas Freeman	Defence	188cm	99kg	6 Jan 1983	Ohio Weselyan Uni.
Dave Gill	Midfield	180cm	76kg	13 Nov 1990	Loughborough Uni.
Ethan Harris	Goalie	171cm	78kg	20 Apr 1981	UMBC
Brendan Healy	Midfield	180cm	81kg	8 Apr 1984	Maryland Uni.
Ian Healy	Attack	170cm	82kg	12 Jan 1981	Maryland Uni.
Dan Heighway	Attack	185cm	78kg	15 Aug 1980	Heaton Mersey
Richard Heighway	Midfield	180cm	77kg	19 May 1986	Heaton Mersey
Robert Hetherington	Defence	190cm	94kg	23 Nov 1987	Stirling University
Timo Higgins	Goalie	183cm	88kg	8 Sep 1988	St. Andrews Uni.
James Huntington	Midfield	188cm	82kg	1 Oct 1986	Stirling University
Troy Kachor	Midfield	180cm	75kg	11 Sep 1988	Calgary Mountaineers
Malcolm Kent	Midfield	178cm	73kg	8 Dec 1988	Stirling University
Tommy Kirkland	Defence	181cm	76kg	10 June 1991	Timperley
Conor McLaughlin	Defence	175cm	73kg	20 June 1991	Muhlenberg College
Julian MacMillan	Midfield	175cm	84kg	20 Apr 1987	Saint Leo Uni.
Rory Marsden	Defence	192cm	89kg	5 Dec 1981	Stirling University
Graham Monaghan	Attack	185cm	75kg	5 Sep 1989	Sussex Uni.
Quentin Morgan	LSM	153cm	77kg	13 Apr 1988	St. Andrews Uni.
Chris Paton	Attack	175cm	94kg	18 Oct 1987	Glasgow Uni.
Michael Rushworth	Defence	180cm	110kg	29 May 1988	Aberdeen Uni.
James Slade	Midfield	180cm	81kg	18 May 1985	Western Ontario Uni.
