Runs (Balls)	Wicket	Partnerships	Opponent	Venue	Date
204 (171)	4th	Brad Hodge / Michael Clarke	Netherlands	Basseterre	18-03-2007
202 (172)	2nd	Sourav Ganguly / Virender Sehwag	Bermuda	Port of Spain	19-03-2007
183 (180)	3rd	Sanath Jayasuriya / Mahela Jayawardene	West Indies	Georgetown	01-04-2007
172 (137)	1st	Adam Gilchrist / Matthew Hayden	Sri Lanka	Bridgetown	29-04-2007
170 (170)	2nd	AB de Villiers / Jacques Kallis	West Indies	St George's	10-04-2007
161 (130)	3rd	Ricky Ponting / Michael Clarke	South Africa	Basseterre	24-03-2007
160 (126)	1st	AB de Villiers / Graeme Smith	Australia	Basseterre	24-03-2007
150 (153)	3rd	Mahela Jayawardene / Kumar Sangakkara	Bermuda	Port of Spain	15-03-2007
142 (129)	1st	Stephen Fleming / Lou Vincent	Canada	Gros Islet	22-03-2007
140 (141)	3rd	Ian Bell / Kevin Pietersen	Australia	North Sound	08-04-2007
140 (184)	4th	Mahela Jayawardene / Chamara Silva	Australia	St George's	16-04-2007
Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com
