No. in series	No. in season	Title	Director	Writer(s)	Original air date	Production code
33	1	"Much Ado About Everything"	Nancy Malone	Charles Pratt, Jr.	September8,1993	2393033
34	2	"A Long Night's Journey"	Charles Correll	Frank South	September15,1993	2393034
35	3	"Revenge"	James Frawley	Darren Star	September22,1993	2393035
36	4	"Fire Power"	Barbara Amato	Kimberly Costello	September29,1993	2393036
37	5	"Of Bikes and Men"	James Whitmore, Jr.	Allison Robbins	October6,1993	2393037
38	6	"Hot and Bothered"	Paul Lazarus	Dee Johnson	October13,1993	2393038
39	7	"Flirting With Disaster"	Bethany Rooney	Charles Pratt, Jr.	October20,1993	2393039
40	8	"No Bed of Roses"	Nancy Malone	Frank South	October27,1993	2393040
41	9	"Married to It"	James Frawley	Darren Star	November3,1993	2393041
42	10	"The Tangled Web"	Chip Chalmers	Charles Pratt, Jr.	November10,1993	2393042
43	11	"Collision Course"	Richard Lang	Frank South	November17,1993	2393043
44	12	"Cold Turkey"	Paul Lazarus	Kimberly Costello	November24,1993	2393044
45	13	"Duet for One"	Victoria Hochberg	Allison Robbins	December1,1993	2393045
46	14	"Strange Bedfellows"	Nancy Malone	Dee Johnson	December15,1993	2393046
47	15	"Under the Mistletoe"	Chip Chalmers	Charles Pratt, Jr.	December22,1993	2393047
48	16	"Reunion Blues"	Jefferson Kibbee	Frank South	January5,1994	2393048
49	17	"Michael's Game"	Marty Pasetta	Darren Star	January12,1994	2393049
50	18	"Arousing Suspicions"	Steve Dubin	Kimberly Costello	January26,1994	2393050
51	19	"The Young Men and the Sea"	Charles Correll	Allison Robbins	February2,1994	2393051
52	20	"Parting Glances"	Bethany Rooney	Dee Johnson	February9,1994	2393052
53	21	"Swept Away"	Nancy Malone	Charles Pratt, Jr.	February16,1994	2393053
54	22	"With This Ball and Chain"	Jefferson Kibbee	Frank South	February23,1994	2393054
55	23	"Otherwise Engaged"	Chip Chalmers	Darren Star	March2,1994	2393055
56	24	"Love, Mancini Style"	Charles Correll	Charles Pratt, Jr.	March16,1994	2393056
57	25	"The Two Mrs. Mancinis"	Marty Pasetta	Allison Robbins	March23,1994	2393057
58	26	"In Bed with the Enemy"	Parker Stevenson	Stevie Stern	April6,1994	2393058
59	27	"Psycho-Therapy"	Charles Correll	Kimberly Costello	April20,1994	2393059
60	28	"The Bitch is Back"	Nancy Malone	Frank South	April27,1994	2393060
61	29	"Imperfect Strangers"	Chip Chalmers	Dee Johnson	May4,1994	2393061
62	30	"Devil with the G-String On"	Paul Lazarus	Charles Pratt, Jr.	May11,1994	2393062
63	31	"Till Death Do Us Part (1)"	Chip Chalmers	Darren Star & Frank South	May18,1994	2393063A
