Country	Film title used in nomination	Language	Original title	Director
Belgium	The Lonely Killers	French	Les tueurs fous	Boris Szulzinger
Brazil	How Tasty Was My Little Frenchman	Portuguese, French, Tupi	Como Era Gostoso o Meu Francês	Nelson Pereira dos Santos
Bulgaria	The Goat Horn	Bulgarian	Козият рог	Metodi Andonov
Canada	The True Nature of Bernadette	French	La Vraie nature de Bernadette	Gilles Carle
Denmark	Oh, to Be on the Bandwagon!	Danish	Man sku være noget ved musikken	Henning Carlsen
Egypt	My Wife and the Dog	Arabic	زوجتي و الكلب	Said Marzouk
France	The Discreet Charm of the Bourgeoisie	French, Spanish	Le Charme discret de la bourgeoisie	Luis Buñuel
West Germany	Trotta	German	Trotta	Johannes Schaaf
Hungary	Present Indicative	Hungarian	Jelenidő	Péter Bacsó
India	Uphaar	Hindi	उपहार	Sudhendu Roy
Israel	I Love You Rosa	Hebrew	אני אוהב אותך רוזה	Moshé Mizrahi
Italy	Roma	Italian	Roma	Federico Fellini
Japan	Under the Flag of the Rising Sun	Japanese	軍旗はためく下に	Kinji Fukasaku
Kuwait	The Cruel Sea	Arabic	فيلم بس يابحر	Khalid Al Siddiq
Peru	Mirage	Spanish	Espejismo	Armando Robles Godoy
Poland	Pearl in the Crown	Polish	Perla w koronie	Kazimierz Kutz
Spain	My Dearest Senorita	Spanish	Mi querida señorita	Jaime de Armiñán
Sweden	The New Land	Swedish	Nybyggarna	Jan Troell
Switzerland	La Salamandre	French	La Salamandre	Alain Tanner
Taiwan	Execution in Autumn	Chinese	秋決	Li Hsing
Soviet Union	The Dawns Here Are Quiet	Russian	А зори здесь тихие	Stanislav Rostotsky
Yugoslavia	The Master and Margaret	Serbo-Croatian	Majstor i Margarita	Aleksandar Petrović
