Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 9	Mercedes Championships	California	500,000	Jack Nicklaus (7)	279 (-9)	100,000
Feb 6	Royal Caribbean Classic	Florida	800,000	Lee Trevino (19)	205 (-8)	120,000
Feb 13	GTE Suncoast Classic	Florida	700,000	Rocky Thompson (3)	201 (-12)	105,000
Feb 20	The IntelliNet Challenge	Florida	500,000	Mike Hill (16)	201 (-15)	75,000
Mar 6	GTE West Classic	California	550,000	Jay Sigel (1)	198 (-12)	82,500
Mar 13	Vantage at The Dominion	Texas	650,000	Jim Albus (3)	208 (-8)	97,500
Mar 27	Doug Sanders Celebrity Classic	Texas	500,000	Tom Wargo (2)	209 (-7)	75,000
Apr 3	The Tradition	Arizona	850,000	Raymond Floyd (6)	271 (-17)	127,500
Apr 17	PGA Seniors' Championship	Florida	800,000	Lee Trevino (20)	279 (-9)	115,000
Apr 24	Dallas Reunion Pro-Am	Texas	500,000	Larry Gilbert (1)	202 (-8)	75,000
May 1	Las Vegas Senior Classic	Nevada	900,000	Raymond Floyd (7)	203 (-13)	135,000
May 15	PaineWebber Invitational	North Carolina	750,000	Lee Trevino (21)	203 (-13)	112,500
May 22	Cadillac NFL Golf Classic	New Jersey	900,000	Raymond Floyd (8)	206 (-10)	135,000
May 29	Bell Atlantic Classic	Pennsylvania	700,000	Lee Trevino (22)	206 (-4)	105,000
Jun 5	Bruno's Memorial Classic	Alabama	1,000,000	Jim Dent (8)	201 (-15)	150,000
Jun 12	Nationwide Championship	Georgia	1,150,000	Dave Stockton (7)	198 (-18)	172,500
Jun 19	BellSouth Senior Classic at Opryland	Tennessee	1,050,000	Lee Trevino (23)	199 (-17)	157,500
Jun 26	Ford Senior Players Championship	Michigan	1,400,000	Dave Stockton (8)	271 (-17)	210,000
Jul 3	U.S. Senior Open	North Carolina	800,000	Simon Hobday (3)	274 (-10)	145,000
Jul 10	Kroger Senior Classic	Ohio	850,000	Jim Colbert (8)	199 (-14)	127,500
Jul 17	Ameritech Senior Open	Illinois	750,000	John Paul Cain (2)	202 (-14)	112,500
Jul 24	Southwestern Bell Classic	Missouri	700,000	Jim Colbert (9)	196 (-14)	105,000
Jul 31	Northville Long Island Classic	New York	650,000	Lee Trevino (24)	200 (-16)	97,500
Aug 7	Bank of Boston Senior Golf Classic	Massachusetts	750,000	Jim Albus (4)	203 (-13)	112,500
Aug 14	First of America Classic	Michigan	650,000	Tony Jacklin (1)	136 (-8)	97,500
Aug 21	Burnet Senior Classic	Minnesota	1,050,000	Dave Stockton (9)	203 (-13)	157,500
Aug 28	Franklin Quest Championship	Utah	500,000	Tom Weiskopf (1)	204 (-12)	75,000
Sep 4	GTE Northwest Classic	Washington	550,000	Simon Hobday (4)	209 (-7)	82,500
Sep 11	Quicksilver Classic	Pennsylvania	1,050,000	Dave Eichelberger (1)	209 (-7)	157,500
Sep 18	Bank One Senior Classic	Kentucky	550,000	Isao Aoki (2)	202 (-14)	87,500
Sep 25	Brickyard Crossing Championship	Indiana	700,000	Isao Aoki (3)	133 (-11)	105,000
Oct 2	Vantage Championship	North Carolina	1,500,000	Larry Gilbert (2)	198 (-18)	225,000
Oct 9	The Transamerica	California	600,000	Kermit Zarley (1)	204 (-12)	90,000
Oct 16	Raley's Senior Gold Rush	California	650,000	Bob Murphy (3)	208 (-8)	97,500
Oct 23	Ralphs Senior Classic	California	750,000	Jack Kiefer (1)	197 (-16)	112,500
Oct 30	Hyatt Regency Maui Kaanapali Classic	Hawaii	550,000	Bob Murphy (4)	195 (-18)	82,500
Nov 13	Golf Magazine Senior Tour Championship	South Carolina	1,350,000	Raymond Floyd (9)	273 (-15)	240,000
