Date	Label	Region	Format	Catalog
March 1992	PCD	Canada	CD single - Promo	162
March 1992	Polydor	France, Belgium	CD single - Promo	4230
March 1992	Polydor	France, Belgium	12" maxi - Promo	—
13 April 1992	Polydor	France, Belgium	7" single	865 820-7
13 April 1992	Polydor	France, Belgium	CD single	865 820-2
13 April 1992	Polydor	France, Belgium	7" maxi	865 821-1
13 April 1992	Polydor	France, Belgium	CD maxi	865 821-2
13 April 1992	Polydor	France, Belgium	Cassette	865 820-4
May 1992	Polydor	Germany	7" single	865 820-7
May 1992	Polydor	Germany	CD maxi	865 821-2
