Player	Games Played	Minutes	Field Goals	Three Pointers	Free Throws	Rebounds	Assists	Blocks	Steals	Points
DeWanna Bonner	34	1123	239	20	218	289	51	55	58	716
Sherell Hobbs	34	1059	145	23	94	164	41	13	61	407
Whitney Boddie	33	1102	154	0	61	153	262	5	63	369
Alli Smalley	34	1047	141	68	28	91	71	7	45	378
Trevesha Jackson	34	781	96	0	41	174	14	20	26	233
KeKe Carrier	34	338	65	0	31	104	12	41	7	161
Chantel Hilliard	30	382	53	0	15	85	7	12	13	121
Reneisha Hobbs	33	348	33	0	23	55	17	4	16	89
Morgan Jennings	30	355	30	0	11	48	34	0	16	71
Jordan Greenleaf	5	125	14	0	7	26	3	4	4	35
