1st built	1913 Class	W.A.	No. Built	Builder	Date	LNER Class
868	I	4-4-2	20	NBL (14) R. Stephenson (6)	1906–11	C10
1	M	4-4-2T	30	Yorkshire Engine Co.	1911–13	C15
438	L	4-4-2T	21	NBL	1915–21	C16
895	J	4-4-0	16	NBL (6) NBR Cowlairs (10)	1909–11	D29
400	J	4-4-0	27	NBR Cowlairs	1912–20	D30
882	K	4-4-0	12	NBR Cowlairs	1906–07	D32
331	K	4-4-0	12	NBR Cowlairs	1909–10	D33
149	K	4-4-0	32	NBR Cowlairs	1913–20	D34
239	M	0-4-4T	12	NBL	1909	G9
848	B	0-6-0	76	NBL (40) NBR Cowlairs (36)	1906–13	J35
8	S	0-6-0	104	NBR Cowlairs (35) NBL (69)	1914–21	J37
836	F	0-6-0T	35	NBR Cowlairs	1905–19	J88
858	A	0-6-2T	6	NBL	1909–20	N14
7	A	0-6-2T	69	NBL	1910–24	N15
