#	Episode	AU Air Date	Timeslot	Viewers (m)	Nightly Rank (#)	Weekly Rank (#)
1	"Aussie Bob & Kiwi Terry"	9 February 2009	8:30pm Monday	2.582	1	1
2	"Bad Habits"	9 February 2009	9:30pm Monday	2.397	2	2
3	"Brave New World"	16 February 2009	8:30pm Monday	2.476	1	1
4	"Business as Usual"	23 February 2009	8:30pm Monday	2.334	1	1
5	"A Tale of Two Hitmen"	2 March 2009	8:30pm Monday	2.233	1	1
6	"Stranded"	9 March 2009	8:30pm Monday	2.267	1	1
7	"A Nice Little Earner"	16 March 2009	8:30pm Monday	2.174	1	1
8	"Diamonds"	23 March 2009	8:30pm Monday	2.069	1	1
9	"Judas Kiss"	30 March 2009	8:30pm Monday	2.126	1	1
10	"The Reckoning"	20 April 2009	8:30pm Monday	1.826	1	1
11	"The Brotherhood"	20 April 2009	9:30pm Monday	1.803	2	2
12	"O Lucky Man"	27 April 2009	8:30pm Monday	1.705	4	5
13	"The Loved Ones"	4 May 2009	8:30pm Monday	2.078	1	1
