Player	Height	Position	Year born	Current Club
Sandi Čebular	1.94	Guard	1986	Unattached
Jaka Lakovič	1.86	Guard	1978	AXA FC Barcelona
Aleksandar Ćapin	1.86	Guard	1982	Whirlpool Varese
Goran Dragić	1.88	Guard	1986	TAU Cerámica
Rasho Nesterovič	2.14	Center	1976	Toronto Raptors
Matjaž Smodiš	2.05	Forward	1979	CSKA Moscow
Uroš Slokar	2.09	Center	1983	Triumph Lyubertsy
Jaka Klobučar	1.94	Guard	1987	Geoplin Slovan
Goran Jagodnik	2.02	Forward	1974	Hemofarm
Domen Lorbek	1.96	Guard	1985	MMT Estudiantes
Gašper Vidmar	2.08	Center	1987	Fenerbahçe Ülker
Erazem Lorbek	2.09	Center	1984	Lottomatica Roma
