Place	Player	Country	Score	To par	Money ( $ )
1	Jim Barnes	England	69-75-73-72=289	+9	500
T2	Walter Hagen	United States	79-73-72-74=298	+18	250
T2	Fred McLeod	Scotland United States	74-74-76-74=298	+18	250
4	Chick Evans (a)	United States	73-78-76-75=302	+22	0
T5	Emmett French	United States	75-77-74-77=303	+23	125
T5	Bobby Jones (a)	United States	78-71-77-77=303	+23	0
T5	Alex Smith	Scotland	75-75-79-74=303	+23	125
T8	George Duncan	Scotland	72-78-78-77=305	+25	85
T8	Clarence Hackney	United States	74-76-78-77=305	+25	85
10	Emil Loeffler	United States	74-77-74-81=306	+26	75
