Player	Qual.	Baku	Sochi	Elista	Nalchik	Jermuk	Astrakhan	Played
Levon Aronian ( ARM )	RL	–	180	–	180	140	–	3
Teimour Radjabov ( AZE )	RL	(60)	150	153⅓	–	–	116	4
Alexander Grischuk ( RUS )	RR	105	(45)	153⅓	105	–	–	4
Dmitry Jakovenko ( RUS )	HC	–	90	153⅓	–	(35)	116	4
Wang Yue ( CHN )	PR	153⅓	120	80	–	–	(70)	4
Vugar Gashimov ( AZE )	HC	153⅓	(65)	110	–	–	70	4
Peter Leko ( HUN )	RL	–	–	80	140	100	(70)	4
Shakhriyar Mamedyarov ( AZE )	RL	105	–	80	(55)	–	116	4
Evgeny Alekseev ( RUS )	RR	–	–	(35)	85	100	116	4
Pavel Eljanov ( UKR )	RR	not qualified	not qualified	35	(20)	70	180	4
Boris Gelfand ( ISR )	RL	–	(30)	–	85	140	45	4
Vassily Ivanchuk ( UKR )	RL	–	65	–	20	180	(20)	4
Étienne Bacrot ( FRA )	PR	(15)	–	80	105	55	–	4
Gata Kamsky ( USA )	CH	60	120	–	55	(55)	–	4
Sergey Karjakin ( UKR )	CP	60	90	–	(55)	80	–	4
Peter Svidler ( RUS )	PR	85	90	–	55	–	(45)	4
Rustam Kasimdjanov ( UZB )	RR	not qualified	not qualified	80	20	100	–	3
Vladimir Akopian ( ARM )	HC	not qualified	not qualified	(15)	140	35	20	4
Ivan Cheparinov ( BUL )	PR	35	45	50	–	(10)	–	4
Ruslan Ponomariov ( UKR )	RR	not qualified	not qualified	not qualified	not qualified	not qualified	116	1
Ernesto Inarkiev ( RUS )	HC	15	–	(15)	–	20	20	4
Magnus Carlsen ( NOR )	CP	153⅓	–	withdrew	withdrew	withdrew	withdrew	1
Michael Adams ( ENG )	RR	85	–	withdrew	withdrew	withdrew	withdrew	1
David Navara ( CZE )	HC	35	15	–	–	excluded	excluded	2
Mohamad Al-Modiahki ( QAT )	HC	–	15	excluded	excluded	excluded	excluded	1
Yannick Pelletier ( SUI )	HC	–	–	excluded	excluded	excluded	excluded	0
