Rank	Title	Studio	Director	Gross
1.	Top Gun	Paramount	Tony Scott	$353,816,701
2.	"Crocodile" Dundee	Paramount	Peter Faiman	$328,203,506
3.	Platoon	Orion	Oliver Stone	$138,530,565
4.	The Karate Kid Part II	Columbia	John G. Avildsen	$113,324,868
5.	Star Trek IV: The Voyage Home	Paramount	Leonard Nimoy	$109,713,132
6.	Back to School	Orion	Alan Metter	$108,634,920
7.	Aliens	20th Century Fox	James Cameron	$86,160,248
8.	The Golden Child	Paramount	Michael Ritchie	$79,817,937
9.	Ruthless People	Touchstone	Jim Abrahams , David Zucker and Jerry Zucker	$71,624,879
10.	Ferris Bueller's Day Off	Paramount	John Hughes	$70,136,369
11.	Down and Out in Beverly Hills	Touchstone	Paul Mazursky	$62,134,225
12.	The Color of Money	Touchstone	Martin Scorsese	$52,293,982
13.	Stand by Me	Columbia	Rob Reiner	$52,287,414
14.	Legal Eagles	Universal	Ivan Reitman	$49,851,591
15.	Cobra	Warner Bros. / Cannon	George P. Cosmatos	$49,042,224
16.	An American Tail	Universal / Amblin	Don Bluth	$47,483,002
17.	Police Academy 3: Back in Training	Warner Bros.	Jerry Paris	$43,579,163
18.	Heartbreak Ridge	Warner Bros.	Clint Eastwood	$42,724,017
19.	Peggy Sue Got Married	Tri-Star	Francis Ford Coppola	$41,382,841
20.	Poltergeist II: The Other Side	MGM	Brian Gibson	$40,996,665
