Tie no	Home team	Score	Away team	Date
1	Blackpool	2–2	Queens Park Rangers	18 Feb 1990
Replay	Queens Park Rangers	0–0	Blackpool	21 Feb 1990
Replay	Queens Park Rangers	3–0	Blackpool	26 Feb 1990
2	Bristol City	0–0	Cambridge United	17 Feb 1990
Replay	Cambridge United	1–1	Bristol City	21 Feb 1990
Replay	Cambridge United	5–1	Bristol City	27 Feb 1990
3	Liverpool	3–0	Southampton	17 Feb 1990
4	West Bromwich Albion	0–2	Aston Villa	17 Feb 1990
5	Sheffield United	2–2	Barnsley	18 Feb 1990
Replay	Barnsley	0–0	Sheffield United	21 Feb 1990
Replay	Barnsley	0–1	Sheffield United	5 Mar 1990
6	Newcastle United	2–3	Manchester United	18 Feb 1990
7	Oldham Athletic	2–2	Everton	17 Feb 1990
Replay	Everton	1–1	Oldham Athletic	21 Feb 1990
Replay	Oldham Athletic	2–1	Everton	10 Mar 1990
8	Crystal Palace	1–0	Rochdale	17 Feb 1990
