Title	Author	Reader	Format	Company	Release Date	Notes
Night of the Humans	Llewellyn, David David Llewellyn	Darvill, Arthur Arthur Darvill	Download	BBC Audio	2010-07-01 1 July 2010	Unabridged. Reissued on 4 CDs by AudioGO
The Forgotten Army	Minchin, Brian Brian Minchin	Colman, Olivia Olivia Colman	Download	BBC Audio	2010-09-01 1 September 2010	Unabridged. Reissued on 6 CDs by AudioGo
The Coming of the Terraphiles	Moorcock, Michael Michael Moorcock	Mantle, Clive Clive Mantle	9-CD	BBC Audio	2010-10-28 28 October 2010	Unabridged.
Nuclear Time	Smith, Oli Oli Smith	Briggs, Nicholas Nicholas Briggs	Download	BBC Audio	2011-02-01 1 February 2011	Unabridged. Reissued on 4 CDs by AudioGo
The King's Dragon	McCormack, Una Una McCormack	Briggs, Nicholas Nicholas Briggs	Download	BBC Audio	2011-03-01 1 March 2011	Unabridged. Reissued on 5 CDs by AudioGo.
The Glamour Chase	Russell, Gary Gary Russell	Darvill, Arthur Arthur Darvill	Download	BBC Audio	2011-04-01 1 April 2011	Unabridged. Reissued on 5 CDs by AudioGo.
The Way Through the Woods	McCormack, Una Una McCormack	Corbett, Clare Clare Corbett	Download	BBC Audio	2011-07-01 1 July 2011	Unabridged. Reissued on 4 CDs by AudioGo
Touched by an Angel	Morris, Jonathon Jonathan Morris	Corbett, Clare Clare Corbett	Download	BBC Audio	2011-08-01 1 August 2011	Unabridged. Reissued on 6 CDs by AudioGo
Paradox Lost	Mann, George George Mann	Briggs, Nicholas Nicholas Briggs	Download	BBC Audio	2011-09-01 1 September 2011	Unabridged. Reissued on 6 CDs by AudioGo.
Borrowed Time	Alderman, Naomi Naomi Alderman	Syal, Meera Meera Syal	Download	BBC Audio	2011-10-01 1 October 2011	Unabridged. Reissued on 6 CDs by AudioGo.
The Silent Stars Go By	Abnett, Dan Dan Abnett	Maloney, Michael Michael Maloney	Download	BBC Audio	2011-10-01 1 October 2011	Reissued on 6 CDs 3 November 2011
Dark Horizons	Colgan, Jenny J. T. Colgan	McIntosh, Neve Neve McIntosh	6-CD	BBC Audio	2012-07-05 5 July 2012	Unabridged.
Plague of the Cybermen	Richards, Justin Justin Richards	Warner, David David Warner	CD	AudioGo	2013-04-11 11 April 2013	Cybermen vocies by Nicholas Briggs
The Dalek Generation	Briggs, Nicholas Nicholas Briggs	Briggs, Nicholas Nicholas Briggs	Download	AudioGo	2013-04-11 11 April 2013	Reissued on CD 3 June 2013.
