Ensemble	Gold Medals	Silver Medals	Bronze Medals	Total Medals
Anderson HS	0	1	0	1
Ayala HS	0	0	1	1
Bear Creek HS	0	1	0	1
Clayton HS	1	1	1	3
Daphne HS	0	0	1	1
Diamond Bar HS	0	1	0	1
Golden HS	1	0	1	2
Goshen HS	1	0	0	1
Heritage HS	1	0	0	1
Hickory HS	1	0	1	2
Kettering Fairmont HS	0	0	1	1
Mansfield HS	2	1	1	4
Mission Viejo HS	1	0	0	1
Modesto HS	0	1	2	3
Muscle Shoals HS	1	0	1	2
Naugatuck HS	0	0	1	1
New Albany HS	1	1	0	2
North Gwinnett HS	0	0	1	1
Pendleton Heights HS	0	0	1	1
Portsmouth HS	2	5	0	7
Salem HS	0	1	0	1
