Week	Date	Opponent	Result	Venue	Attendance
1	September 17, 1972	at Cleveland Browns	W 26-10	Cleveland Stadium	75,771
2	September 24, 1972	Oakland Raiders	L 20-14	Lambeau Field	56,263
3	October 1, 1972	Dallas Cowboys	W 16-13	Milwaukee County Stadium	47,103
4	October 8, 1972	Chicago Bears	W 20-17	Lambeau Field	56,263
5	October 16, 1972	at Detroit Lions	W 24-23	Tiger Stadium	54,418
6	October 22, 1972	Atlanta Falcons	L 10-9	Milwaukee County Stadium	47,967
7	October 29, 1972	Minnesota Vikings	L 27-13	Lambeau Field	56,263
8	November 5, 1972	San Francisco 49ers	W 34-24	Milwaukee County Stadium	47,897
9	November 12, 1972	at Chicago Bears	W 23-17	Soldier Field	55,701
10	November 19, 1972	at Houston Oilers	W 23-10	Astrodome	41,752
11	November 26, 1972	at Washington Redskins	L 21-16	RFK Stadium	53,039
12	December 3, 1972	Detroit Lions	W 33-7	Lambeau Field	56,263
13	December 10, 1972	at Minnesota Vikings	W 23-7	Metropolitan Stadium	49,784
14	December 17, 1972	at New Orleans Saints	W 30-20	Tulane Stadium	65,881
