Seed	Rank	Player	Points	Points defending	Points won	New points	Status
1	1	Roger Federer	10030	2000	360	8390	Quarterfinals lost to Robin Söderling [5]
3	3	Novak Djokovic	6405	90	360	6675	Quarterfinals lost to Jürgen Melzer [22]
4	4	Andy Murray	5565	360	180	5385	4th round lost to Tomáš Berdych [15]
5	7	Robin Söderling	4755	1200	1200	4755	Runner-Up, lost in final to Rafael Nadal [2]
6	8	Andy Roddick	4600	180	90	4510	3rd round lost to Teymuraz Gabashvili [Q]
7	9	Fernando Verdasco	3645	180	180	3645	4th round lost to Nicolás Almagro [19]
8	10	Jo-Wilfried Tsonga	3185	180	180	3185	4th round lost to Mikhail Youzhny [11]
9	11	David Ferrer	3010	90	90	3010	3rd round lost to Jürgen Melzer [22]
10	12	Marin Čilić	2945	180	180	2945	4th round lost to Robin Söderling [5]
11	13	Mikhail Youzhny	2375	45	360	2690	Quarterfinals lost to Tomáš Berdych [15]
12	14	Fernando González	2385	720	45	1710	2nd round lost to Alexandr Dolgopolov
13	15	Gaël Monfils	2220	360	45	1905	2nd round lost to Fabio Fognini
14	16	Ivan Ljubičić	2140	10	90	2220	3rd round lost to Thomaz Bellucci [24]
15	17	Tomáš Berdych	2115	10	720	2825	Semifinals lost to Robin Söderling [5]
16	18	Juan Carlos Ferrero	2050	45	90	2095	3rd round lost to Robby Ginepri
17	19	John Isner	1880	0(45)	90	1925	3rd round lost to Tomáš Berdych [15]
18	21	Sam Querrey	1675	10	10	1675	1st round lost to Robby Ginepri
19	22	Nicolás Almagro	1690	90	360	1960	Quarterfinals lost to Rafael Nadal [2]
20	23	Stanislas Wawrinka	1600	90	180	1690	4th round lost to Roger Federer [1]
21	25	Tommy Robredo	1505	360	10	1155	1st round lost to Viktor Troicki
22	26	Jürgen Melzer	1495	90	720	2125	Semifinals lost Rafael Nadal [2]
23	27	Ernests Gulbis	1494	45	10	1459	1st round lost to Julien Benneteau
24	28	Thomaz Bellucci	1482	10	180	1652	4th round lost to Rafael Nadal [2]
25	29	Marcos Baghdatis	1465	10	90	1545	3rd round lost to Andy Murray [4]
26	30	Juan Mónaco	1510	45	10	1475	1st round lost to Grega Žemlja [Q]
27	31	Feliciano López	1420	45	10	1385	1st round lost to Julian Reister [Q]
28	33	Lleyton Hewitt	1350	90	90	1350	3rd round lost to Rafael Nadal [2]
29	34	Albert Montañés	1325	10	90	1405	3rd round lost to Robin Söderling [5]
30	35	Philipp Kohlschreiber	1320	180	90	1230	3rd round lost to Fernando Verdasco [7]
31	37	Victor Hănescu	1160	180	90	1070	3rd round lost to Novak Djokovic [3]
