Party	Leader	Seats	% of seats	First Pref votes	% FPv
Fianna Fáil	Bertie Ahern	77	46.6	858,565	41.56
Fine Gael	Enda Kenny	51	30.9	564,428	27.32
Labour Party	Pat Rabbitte	20	12.1	209,175	10.13
Green Party	Trevor Sargent	6	3.6	96,936	4.69
Sinn Féin	Gerry Adams	4	2.4	143,410	6.94
Progressive Democrats	Michael McDowell	2	1.2	56,396	2.73
Socialist Party	Joe Higgins	0	0	13,218	0.64
People Before Profit	N/A	0	0	9,333	0.45
Workers' Party	Seán Garland	0	0	3,026	0.15
Christian Solidarity	Cathal Loftus	0	0	1,705	0.08
Fathers Rights	Liam Ó Gógáin	0	0	1,355	0.07
Immigration Control	Áine Ní Chonaill	0	0	1,329	0.06
Irish Socialist Network	N/A	0	0	505	0.02
Independent	N/A	5	3.0	106,429	5.15
Ceann Comhairle	N/A	1†	0.6	N/A	N/A
Spoilt votes	Spoilt votes	Spoilt votes	Spoilt votes	19,435	—
Total	Total	166	100	2,085,245	100
Electorate/Turnout	Electorate/Turnout	Electorate/Turnout	Electorate/Turnout	3,110,914	67.0%
