Week	Date	Opponent	Result	Attendance
1	September 9, 1990	at Los Angeles Raiders	L 14–9	54,206
2	September 17, 1990	Kansas City Chiefs	W 24–23	75,277
3	September 23, 1990	Seattle Seahawks	W 34–31	75,290
4	September 30, 1990	at Buffalo Bills	L 29–28	74,393
5	October 8, 1990	Cleveland Browns	L 30–29	74,814
6	October 14, 1990	Pittsburgh Steelers	L 34–17	74,285
7	October 21, 1990	at Indianapolis Colts	W 27–17	59,850
8	Bye	Bye	Bye	Bye
9	November 4, 1990	at Minnesota Vikings	L 27–22	57,331
10	November 11, 1990	at San Diego Chargers	L 19–7	59,557
11	November 18, 1990	Chicago Bears	L 16–13	75,013
12	November 22, 1990	at Detroit Lions	L 40–27	73,896
13	December 2, 1990	Los Angeles Raiders	L 23–20	74,162
14	December 9, 1990	at Kansas City Chiefs	L 31–20	74,347
15	December 16, 1990	San Diego Chargers	W 20–10	64,919
16	December 23, 1990	at Seattle Seahawks	L 17–12	55,845
17	December 30, 1990	Green Bay Packers	W 22–13	46,943
