Year	Class	Team	Points	Wins
1959	125cc	Ducati	2	0
1960	125cc	MV Agusta	0	0
1960	250cc	Aermacchi	2	0
1960	350cc	Norton	0	0
1960	500cc	Norton	0	0
1961	250cc	Aermacchi	0	0
1961	500cc	Norton	3	0
1962	125cc	Honda	2	0
1962	250cc	Honda	8	0
1963	50cc	Kreidler	9	0
1963	350cc	Norton	0	0
1964	250cc	Paton	6	0
1965	250cc	Aermacchi	1	0
1965	350cc	Aermacchi	0	0
1966	250cc	Aermacchi	4	0
1966	350cc	Aermacchi	11	0
1967	250cc	Aermacchi	0	0
1967	350cc	Aermacchi	11	0
1968	500cc	Linto	9	0
1969	350cc	Aermacchi	0	0
1969	500cc	Linto	15	1
1970	250cc	Aermacchi	4	0
1970	500cc	Linto	30	0
1971	125cc	Derbi	4	0
1971	250cc	Suzuki	0	0
1971	500cc	Linto	29	1
1971	500cc	MV Agusta	29	1
1972	350cc	MV Agusta	4	0
1972	500cc	MV Agusta	87	1
