Team #1	Agg.	Team #2	1st leg	2nd leg
Asco Śląsk Wrocław	161 - 177	Dynamo Moscow	78 - 85	83 - 92
Lukoil Academic	140 - 119	BK Ventspils	67 - 64	73 - 55
Telindus BC Oostende	121 - 133	BC Kyiv	61 - 65	60 - 68
CEZ Nymburk	127 - 129	PGE Turów Zgorzelec	61 - 61	66 - 68
Elan Chalon	150 - 163	Akasvayu Girona	93 - 85	57 - 78
Hemofarm	155 - 134	Budućnost Podgorica	82 - 56	73 - 78
UNICS Kazan	184 - 161	Türk Telekom	91 - 65	93 - 96
Artland Dragons	161 - 157	Triumph Lyubertsy	81 - 75	80 - 82
Allianz Swans Gmunden	115 - 166	DKV Joventut	59 - 89	56 - 77
Köln 99ers	141 - 187	Khimki	72 - 91	69 - 96
Azovmash Mariupol	142 - 157	Zadar	82 - 80	60 - 77
Panionios Forthnet	131 - 141	Pamesa Valencia	70 - 59	61 - 82
Hapoel Jerusalem	141 - 146	Beşiktaş Cola Turka	88 - 73	53 - 73
Red Star Belgrade	164 - 153	Benetton Treviso	81 - 71	83 - 82
Adecco ASVEL Villeurbanne	144 - 145	Galatasaray Cafe Crown	69 - 69	75 - 76
KK Bosna	158 - 171	Gran Canaria	89 - 82	69 - 89
