Municipality	Inhabitants	Mayor	Party	Election
Venice	270,884	Giorgio Orsoni	Democratic Party	2010
Verona	263,964	Flavio Tosi	Liga Veneta	2012
Padua	214,198	Flavio Zanonato	Democratic Party	2009
Vicenza	115,927	Achille Variati	Democratic Party	2013
Treviso	82,807	Giovanni Manildo	Democratic Party	2013
Rovigo	52,793	Bruno Piva	The People of Freedom	2011
Chioggia	50,674	Giuseppe Casson	Democratic Party	2011
Bassano del Grappa	43,540	Stefano Cimatti	Democratic Party	2009
San Donà di Piave	41,592	Andrea Cereser	Democratic Party	2013
Schio	39,566	Luigi Dalla Via	Democratic Party	2009
Mira	38,952	Alvise Maniero	Five Star Movement	2012
Belluno	36,599	Jacopo Massaro	Independent	2012
Conegliano	35,748	Floriano Zambon	The People of Freedom	2012
Castelfranco Veneto	33,740	Luciano Dussin	Liga Veneta	2010
Villafranca di Verona	33,117	Mario Faccioli	The People of Freedom	2013
Montebelluna	31,181	Marzio Favero	Liga Veneta	2011
Vittorio Veneto	28,964	Gianantonio Da Re	Liga Veneta	2009
Mogliano Veneto	28,115	Giovanni Azzolini	Liga Veneta	2009
Mirano	27,077	Maria Rosa Pavanello	Democratic Party	2012
Spinea	27,041	Silvano Checchin	Democratic Party	2009
Valdagno	26,889	Alberto Neri	Democratic Party	2009
Arzignano	26,046	Giorgio Gentilin	The People of Freedom	2009
Jesolo	25,601	Valerio Zoggia	The People of Freedom	2012
Legnago	25,600	Roberto Rettondini	Liga Veneta	2009
Portogruaro	25,440	Antonio Bertoncello	Democratic Party	2010
