Phase	Round	Draw date	First leg	Second leg
Qualifying	First qualifying round	21 June 2010	29–30 June 2010	6–7 July 2010
Qualifying	Second qualifying round	21 June 2010	13–14 July 2010	20–21 July 2010
Qualifying	Third qualifying round	16 July 2010	27–28 July 2010	3–4 August 2010
Play-off	Play-off round	6 August 2010	17–18 August 2010	24–25 August 2010
Group stage	Matchday 1	26 August 2010 ( Monaco )	14–15 September 2010	14–15 September 2010
Group stage	Matchday 2	26 August 2010 ( Monaco )	28–29 September 2010	28–29 September 2010
Group stage	Matchday 3	26 August 2010 ( Monaco )	19–20 October 2010	19–20 October 2010
Group stage	Matchday 4	26 August 2010 ( Monaco )	2–3 November 2010	2–3 November 2010
Group stage	Matchday 5	26 August 2010 ( Monaco )	23–24 November 2010	23–24 November 2010
Group stage	Matchday 6	26 August 2010 ( Monaco )	7–8 December 2010	7–8 December 2010
Knockout phase	Round of 16	17 December 2010	15–16 & 22–23 February 2011	8–9 & 15–16 March 2011
Knockout phase	Quarter-finals	18 March 2011	5–6 April 2011	12–13 April 2011
Knockout phase	Semi-finals	18 March 2011	26–27 April 2011	3–4 May 2011
Knockout phase	Final	18 March 2011	28 May 2011 at Wembley Stadium , London	28 May 2011 at Wembley Stadium , London
