Series #	Season #	Title	Directed by	Original air date	Production code
173	1	"Payneful Resolution Resolution"	Tyler Perry	March30,2011	701
174	2	"Growing Paynes"	Tyler Perry	March30,2011	702
175	3	"Payne Protection"	Tyler Perry	April6,2011	703
176	4	"Payneful Visit"	Tyler Perry	April6,2011	704
178	6	"Epic Fail"	Chip Hurd	April13,2011	706
179	7	"Praying for Attention"	Tyler Perry	April20,2011	707
180	8	"Shout Out"	Kim Fields	April20,2011	708
181	9	"Love Thy Neighbor"	Chip Hurd	April27,2011	709
182	10	"Dream Girls"	Tyler Perry	April27,2011	710
183	11	"A Payneful Night Out"	Tyler Perry	May4,2011	711
184	12	"Payneful Assistance"	Tyler Perry	May4,2011	712
185	13	"House of Awkward"	Chip Hurd	May11,2011	713
186	14	"Pledging Paynes"	Chip Hurd	May11,2011	714
187	15	"Brain Payne"	Chip Hurd	May11,2011	715
188	16	"Foster Paynes"	Kim Fields	May18,2011	716
189	17	"Talented Paynes"	Roger M. Bobb	May18,2011	717
190	18	"Going, Going, Gone"	Kim Fields	May25,2011	718
191	19	"Mother's Day Out"	Roger M. Bobb	June1,2011	719
192	20	"So Hard To Say Goodbye"	Tyler Perry	June8,2011	720
193	21	"Payneful Rescue"	Tyler Perry	June15,2011	721
