Game	Date	Visitor	Score	Home	Decision	Attendance	Record
24	December 1	Nashville	5 - 4	Montreal	Ellis	21,273	13-9-2
25	December 4	Nashville	1 - 3	Toronto	Mason	19,400	13-10-2
26	December 6	Vancouver	5 - 2	Nashville	Ellis	15,918	13-11-2
27	December 8	Anaheim	2 - 4	Nashville	Mason	13,469	14-11-2
28	December 10	Detroit	2 - 1	Nashville	Ellis	15,056	14-12-2
29	December 13	Colorado	2 - 1	Nashville	Mason	12,456	14-13-2
30	December 15	Nashville	1 - 3	Colorado	Mason	16,582	14-14-2
31	December 18	Nashville	2 - 3	Minnesota	Ellis	18,568	14-15-2
32	December 19	Nashville	2 - 5	Chicago	Ellis	14,151	14-16-2
33	December 22	Los Angeles	3 - 4	Nashville	Ellis	15,698	15-16-2
34	December 23	Nashville	3 - 1	Columbus	Mason	15,481	16-16-2
35	December 26	Nashville	2 - 5	Chicago	Mason	20,511	16-17-2
36	December 27	Columbus	3 - 4	Nashville	Mason	14,331	17-17-2
37	December 29	San Jose	5 - 2	Nashville	Mason	13,298	17-18-2
38	December 31	Nashville	1 - 0	Dallas	Ellis	18,584	18-18-2
