Television service	Country	Language	Content	HDTV	Package/Option
Telemarket	Italy	Italian	televendita	no	no ( FTA )
Noello Sat	Italy	Italian	televendita	no	no ( FTA )
Elite Shopping TV	Italy	Italian	televendita	no	no ( FTA )
Juwelo	Italy	Italian	televendita	no	no ( FTA )
Diprè TV	Italy	Italian	arte	no	no ( FTA )
Telemarket For You	Italy	Italian	televendita	no	no ( FTA )
La Sorgente Sat 1	Italy	Italian	televendita	no	no ( FTA )
La Sorgente Sat 2	Italy	Italian	televendita	no	no ( FTA )
La Sorgente Sat 3	Italy	Italian	televendita	no	no ( FTA )
HSE24	Italy	Italian	televendita	no	no ( FTA )
