Player	Matches	Innings	Not Out	Runs	High Score	Average	Strike Rate	100s
Craig White	7	7	3	195	69*	48.75	49.24	0
Jacques Rudolph	18	16	2	675	120	48.21	76.70	1
Anthony McGrath	17	15	3	489	105*	40.75	78.62	1
Ajmal Shahzad	2	1	0	33	33	33.00	150.00	0
Andrew Gale	18	17	1	450	89	28.13	80.94	0
Rana Naved-ul-Hasan	9	8	0	212	74	26.50	113.98	0
Gerard Brophy	17	15	5	238	61*	23.80	90.84	0
Chris Taylor	2	2	0	45	23	22.50	86.54	0
Adil Rashid	17	8	3	101	41*	20.20	75.37	0
Tim Bresnan	16	9	2	135	55	19.29	83.85	0
Darren Gough	17	3	1	38	33	19.00	64.41	0
Michael Vaughan	2	2	0	38	22	19.00	73.08	0
Adam Lyth	15	10	1	162	38*	18.00	82.65	0
Richard Pyrah	18	9	4	83	26*	16.60	87.37	0
Simon Guy	1	1	0	6	6	6.00	100.00	0
David Wainwright	7	3	3	29	13*	N/A	76.32	0
Deon Kruis	12	1	1	3	3*	N/A	75.00	0
Matthew Hoggard	2	1	1	1	1*	N/A	50.00	0
Steven Patterson	1	0	0	0	0	N/A	N/A	0
Total Batting	198	128	30	2933	120	29.93	78.78	2
