Year	Title	Type	Episodes	Role
1995– 1999	Blue Heelers	TV series	2	Helene Lee
1996	G.P.	TV series	12	Dr. Yasmin Richards
1998	Never Tell Me Never	TV Film	N/A	Physiotherapist
1998– 1999	Wildside	TV series	7	Samira Nassar
1999	Strange Planet	Film	N/A	Sarah
1999	Erskineville Kings	Film	N/A	Lanny
2000– 2010	Play School	TV series	250+	Leah
2000	The Games	TV series	1	Leah
2000– 2003	Grass Roots	TV series	4	Meera
2002	Short Cuts	TV series	1	Psychologist
2002	BootLeg	TV mini-series	4	Wendy
2002– 2003	MDA	TV series	2	Dr. Jane Bowen
2003	Kath & Kim	TV series	1	Shop Girl
2004	The Brush-Off	TV Film	1	Claire Sutton
2005	JewBoy	Film	1	Sarita
2006– 2008	Stupid, Stupid Man	TV series	16	Anne Cassidy
2008	East of Everything	TV series	3	Lara
2008	Family Footsteps	TV series	4	Narrator
2009	Snake Tales	TV series	13	Miranda Sailendra
2010	Sleuth 101	Game Show	2	Annie/Jessica
2010	Tangle	TV series	2	Elle Rosenthal
