Rank	Company	Headquarters	Industry	Employees	Reference date
1	ISS	Copenhagen , Denmark	Facility Management	534,500	2011
2	Securitas	Stockholm , Sweden	Security Services	272,425	2011
3	Nokia	Espoo , Finland	Technology	130,050	2011
4	A.P. Møller-Maersk	Copenhagen , Denmark	Transportation	117,080	2011
5	Ericsson	Stockholm , Sweden	Telecommunication	104,525	2011
6	Volvo	Gothenburg , Sweden	Automotive	98,162	2011
7	H&M	Stockholm , Sweden	Retailing	64,874	2011
8	Electrolux	Stockholm , Sweden	Manufacturing	52,916	2011
9	Skanska	Stockholm , Sweden	Construction	52,557	2011
10	Sandvik	Sandviken , Sweden	Capital goods	50,030	2011
